cyc,time,y2 piezo,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
12,7.57,75,12,39704.1,0,5,101,125,0,5,135,-6.91829,-5.63755,-6.45764,-1.88283,-0.903956,-189.858,-0.778626,43508.8,-31.6737,16439.4,-6.18472,-4.90397,-4.9905,-1.14926,-0.170384,0.713171,10.3167,44340.9,-20.5784,-0.717559,0.000132935,1.00025,-14.3774,238.369,319.307,0.24176,62721.7,1.1201e-06,0.246305,105.95,85.6087,20.6452,23.6616,0.872521,388.185,518.801,0.400649 
13,1.27,75,13,39386.1,0,5,101,125,0,5,135,-2.39163,-4.73611,-6.5204,-3.50286,-4.67876,-137.914,-6.27936,43426.9,-37.9716,16439.4,-1.85876,-4.20323,-5.45465,-2.96999,-4.14589,0.707251,1.78035,44031.4,-29.9119,-0.0521885,2.31045e-05,1.00037,-34.1139,234.606,361.435,0.227936,62504.2,1.1188e-06,0.260274,105.916,88.4093,20.8891,25.701,0.812772,397.408,612.088,0.440831 
14,9.67,75,14,37911.9,0,5,101,125,0,5,135,-7.52404,-4.14531,-10.6774,-1.95523,-4.13269,-93.325,-16.197,41790.5,-26.8507,16439.4,-7.16345,-3.78473,-9.95621,-1.59464,-3.7721,0.621021,-10.7431,42199.5,-21.3968,0.294983,-0.000145494,1.00028,-36.4193,310.153,339.599,0.271399,61129,1.11054e-06,0.292239,108.622,86.4676,22.626,23.4831,0.963502,466.244,511.002,0.439527 
15,0.43,75,15,39857.3,0,5,101,125,0,5,135,-2.62484,-5.25888,-9.92796,-4.72749,-5.56688,-104.826,5.43955,44138.3,-42.8557,16439.4,-2.21982,-4.85386,-9.11791,-4.32247,-5.16186,0.644885,11.5656,44597.7,-36.7297,-0.355754,0.000148167,1.00045,-32.51,323.462,288.386,0.233129,64636,1.13138e-06,0.269954,107.64,89.5186,24.3506,22.8018,1.06792,540.03,481.782,0.450844 
16,2.95,75,16,39686.5,0,5,101,125,0,5,135,-3.86528,-2.55829,-7.31217,-1.66371,-0.705348,-45.2395,7.62311,43582.9,-36.4728,16439.4,-3.69049,-2.3835,-6.96258,-1.48892,-0.530552,0.537555,10.2669,43781.2,-33.829,-0.33853,0.000133985,1.00042,-30.3279,310.553,308.403,0.238487,63830.6,1.12666e-06,0.274685,108.198,87.9204,23.6743,23.405,1.01151,510.451,507.611,0.451803 
17,5.47,75,17,39624.6,0,5,101,125,0,5,135,-3.39176,-6.03524,-11.7456,-4.30386,-8.39392,-63.1966,-9.02571,43457.5,-27.435,16439.4,-3.14759,-5.79106,-11.2572,-4.05968,-8.14974,0.652611,-5.3325,43734.4,-23.7418,0.157661,-6.96786e-05,1.00029,-33.8226,238.788,276.915,0.198959,62733.5,1.12017e-06,0.22956,109.151,86.811,22.2257,23.7278,0.936695,449.892,521.706,0.432498 
18,9.25,75,18,39367,0,5,101,125,0,5,135,-5.32148,-0.720074,-5.06595,-2.09306,0.0670359,-83.1803,-11.2018,43151,-35.0203,16439.4,-5.00009,-0.398682,-4.42316,-1.77167,0.388428,0.605257,-6.34071,43515.6,-30.1592,0.149082,-8.32705e-05,1.00038,-42.5317,309.3,318.31,0.236728,63920.7,1.12719e-06,0.278367,108.129,86.8923,23.6742,23.8225,0.993772,510.443,525.882,0.459643 
19,4.21,75,19,41413,0,5,101,125,0,5,135,-2.83467,-5.90238,-8.99639,-2.50403,-6.81191,-145.691,-4.96203,45496.6,-29.5125,16439.4,-2.27175,-5.33946,-7.87055,-1.94111,-6.24899,0.667515,3.55213,46135.2,-20.9984,-0.164101,4.39945e-05,1.00025,-21.6459,287.894,357.629,0.279649,65984.7,1.13919e-06,0.281666,109.173,87.1629,21.6032,23.8441,0.906019,425.045,526.836,0.415391 
20,6.31,75,20,41928.7,0,5,101,125,0,5,135,-2.92417,-3.33077,-8.8235,-2.30645,-1.17727,-138.841,3.83586,45596.6,-40.2181,16439.4,-2.38772,-2.79432,-7.7506,-1.77,-0.640819,0.49486,11.9497,46205.1,-32.1043,-0.449652,0.000147763,1.00038,-26.5754,312.994,304.11,0.221472,66858.5,1.1442e-06,0.269638,107.886,88.3679,24.4245,23.857,1.02379,543.313,527.405,0.467837 
21,7.99,75,21,36884.8,0,5,101,125,0,5,135,-0.384193,-2.02398,-5.6848,-4.78759,-5.00377,-132.995,-1.99491,40723.1,-35.7183,16439.4,0.129675,-1.51012,-4.65707,-4.27372,-4.4899,0.685357,5.77734,41306.1,-27.9461,-0.208133,7.99175e-05,1.00037,-27.7579,237.422,314.896,0.239847,59221.7,1.09886e-06,0.248829,106.511,87.3823,20.627,23.5413,0.876204,387.498,513.538,0.405954 
