cyc,time,y2 piezo,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
12,1.57,35,12,48840.2,0,5,101,125,0,5,135,-1.26948,-6.53137,-3.16453,-5.64895,3.049,-114.4,-13.252,53442.6,-42.3924,16439.4,-0.827457,-6.08935,-2.28049,-5.20693,3.49102,0.791034,-6.56643,53944,-35.7068,0.132884,-6.9563e-05,1.00036,-49.4146,298.29,469.17,0.294777,74503.5,1.18625e-06,0.315362,105.585,86.8603,21.6723,26.8585,0.806905,427.767,668.461,0.450782 
13,3.26,35,13,48008.6,0,5,101,125,0,5,135,-3.70114,-6.23238,-11.9738,-5.86555,0.73129,-176.044,5.36857,52789.8,-37.1098,16439.4,-3.02094,-5.55218,-10.6134,-5.18535,1.41149,0.537751,15.6566,53561.4,-26.8218,-0.947187,0.000167007,1.00027,-16.5296,321.593,383.835,0.313288,72916.1,1.17776e-06,0.29831,106.317,86.2786,22.0908,23.904,0.924148,444.449,529.485,0.411889 
14,4.3,35,14,49844.8,0,5,101,125,0,5,135,-4.53832,-4.82994,-14.1863,-5.6163,-2.0314,-157.59,14.2602,54456.7,-43.9343,16439.4,-3.92943,-4.22104,-12.9685,-5.00741,-1.42251,0.529255,23.4698,55147.4,-34.7247,-1.28955,0.000243131,1.00034,-18.1999,308.005,352.032,0.230936,75412.1,1.19105e-06,0.276465,108.408,86.4784,23.9022,25.2962,0.944894,520.325,592.956,0.466357 
15,3.65,35,15,50269.6,0,5,101,125,0,5,135,-4.18461,-5.70733,-15.1491,-5.3536,-2.63365,-272.429,4.21849,54937,-41.713,16439.4,-3.132,-4.65472,-13.0438,-4.30099,-1.58104,0.511697,20.1392,56131.1,-25.7923,-1.86275,0.00020498,1.00025,-10.8116,296.501,331.715,0.243886,76001.4,1.19415e-06,0.262627,107.117,87.722,22.9794,24.0681,0.954765,480.923,536.781,0.42548 
16,1.7,35,16,50507.9,0,5,101,125,0,5,135,-1.59281,-2.95671,-11.134,-4.41632,-0.0148888,-162.778,-5.52688,54798.3,-49.959,16439.4,-0.963867,-2.32777,-9.87612,-3.78738,0.614052,0.395626,3.98586,55511.7,-40.4463,-0.0894699,4.10281e-05,1.0004,-44.5497,281.11,424.272,0.2881,76117,1.19475e-06,0.289056,105.377,86.6327,21.1743,25.7267,0.823047,408.335,613.312,0.418863 
17,1.18,35,17,50320,0,5,101,125,0,5,135,-7.34395,-4.50584,-15.2613,-5.84941,-5.005,-239.913,-3.69977,55228.4,-41.4188,16439.4,-6.41698,-3.57886,-13.4074,-4.92244,-4.07802,0.586239,10.3207,56279.9,-27.3983,-0.457534,0.000104779,1.00026,-22.5573,268.485,354.578,0.232258,76694.1,1.19776e-06,0.257599,106.23,87.4966,22.2342,25.2753,0.879684,450.239,591.976,0.431026 
18,0.4,35,18,48497.8,0,5,101,125,0,5,135,-5.80035,-6.54358,-12.9152,-9.17256,-3.50517,-191.91,-17.9258,53506.2,-40.5919,16439.4,-5.05885,-5.80208,-11.4322,-8.43106,-2.76367,0.658617,-6.71059,54347.3,-29.3767,0.159918,-7.05626e-05,1.00029,-41.9627,356.882,360.115,0.26631,74070.7,1.18395e-06,0.302797,107.339,85.8957,24.4739,24.3733,1.00413,545.514,550.481,0.462852 
19,2.48,35,19,46506.9,0,5,101,125,0,5,135,-5.86644,-5.0696,-7.84064,-4.51758,-5.94029,-164.334,3.28065,51182.5,-35.9953,16439.4,-5.23148,-4.43465,-6.57073,-3.88263,-5.30534,0.741562,12.8843,51902.8,-26.3917,-0.68586,0.000141831,1.00028,-18.7857,214.595,344.229,0.227009,71264.9,1.1688e-06,0.232536,104.808,83.4404,20.0282,25.1682,0.795773,365.327,586.973,0.396194 
20,0.14,35,20,48143.6,0,5,101,125,0,5,135,-4.448,-6.57027,-9.3731,-7.58951,-2.61357,-70.8788,-3.85499,52650.4,-37.1998,16439.4,-4.17414,-6.29641,-8.82538,-7.31564,-2.3397,0.695164,0.28716,52961,-33.0576,-0.00729165,3.09833e-06,1.00034,-39.382,376.1,463.786,0.283755,73833.9,1.18268e-06,0.353136,107.884,83.9398,24.6504,27.1311,0.908565,553.408,682.1,0.519491 
21,2.87,35,21,51225,0,5,101,125,0,5,135,-4.17765,-2.83018,-8.94415,-0.711255,-0.132205,-197.686,4.25156,55910.2,-47.7122,16439.4,-3.41384,-2.06636,-7.41651,0.0525626,0.631612,0.392713,15.8043,56776.6,-36.1595,-0.572887,0.000159037,1.00035,-27.5871,245.035,369.666,0.242403,77073.9,1.19974e-06,0.250861,105.465,84.8126,20.9112,25.4062,0.823074,398.249,598.123,0.406805 
22,1.83,35,22,48609.2,0,5,101,125,0,5,135,-8.43362,-0.799257,-3.01259,-6.39681,-6.55605,-110.021,-10.1366,53251.6,-51.8383,16439.4,-8.00852,-0.374158,-2.16239,-5.97171,-6.13095,0.904521,-3.70696,53733.8,-45.4087,0.0636963,-3.9423e-05,1.00046,-58.1974,273.439,395.343,0.304617,74455.5,1.18599e-06,0.277226,105.185,86.134,20.5189,24.4421,0.83949,383.448,553.591,0.388477 
23,4.69,35,23,49886.8,0,5,101,125,0,5,135,-4.23436,-2.51669,-5.61284,-7.96274,-5.02519,-140.117,0.571629,53967.9,-45.2106,16439.4,-3.69297,-1.9753,-4.53007,-7.42135,-4.4838,0.795052,8.76008,54582,-37.0222,-0.245611,9.17023e-05,1.00037,-35.6665,322.857,351.112,0.276034,75600.1,1.19204e-06,0.282447,108.892,85.1539,22.9675,23.7789,0.965878,480.427,523.959,0.420893 
24,3.91,35,24,49380.6,0,5,101,125,0,5,135,-3.57795,-3.7044,-10.6701,-2.97756,-5.36633,-173.273,6.72038,53808.1,-42.9715,16439.4,-2.90846,-3.03491,-9.33109,-2.30806,-4.69684,0.581178,16.8464,54567.6,-32.8455,-0.746471,0.000176384,1.00033,-22.5681,278.78,320.861,0.208996,74823.1,1.18794e-06,0.251764,107.435,87.5345,23.6055,25.0757,0.941372,507.488,582.663,0.457748 
25,0.27,35,25,50142.2,0,5,101,125,0,5,135,-2.05254,-2.99228,-4.76722,-3.79147,-1.37397,-214.122,-13.0005,54787.3,-25.9029,16439.4,-1.22522,-2.16496,-3.11258,-2.96414,-0.546649,0.689164,-0.487265,55725.8,-13.3896,0.0294335,-4.99659e-06,1.00013,-16.5548,324.606,373.444,0.238024,77321.9,1.20102e-06,0.289894,107.895,84.1006,24.299,25.8037,0.941684,537.742,616.99,0.479596 
26,1.31,35,26,48191.6,0,5,101,125,0,5,135,-2.45882,-4.02134,-6.60986,-5.78042,-2.66281,-224.319,-23.7656,53144.6,-36.7988,16439.4,-1.59209,-3.15461,-4.8764,-4.91369,-1.79608,0.701436,-10.6564,54127.8,-23.6896,0.272654,-0.000112512,1.00024,-39.0839,262.359,398.078,0.242299,74724,1.18742e-06,0.272163,105.959,89.0743,21.6403,26.3977,0.81978,426.505,645.72,0.441958 
27,2.61,35,27,49419,0,5,101,125,0,5,135,0.145404,-2.78599,-7.47845,-5.61074,-1.75498,-130.808,0.0477719,54095.3,-52.0577,16439.4,0.650819,-2.28058,-6.46762,-5.10532,-1.24957,0.552484,7.69218,54668.6,-44.4133,-0.168674,8.03967e-05,1.00044,-45.6038,237.034,371.693,0.239601,75869.9,1.19346e-06,0.248708,105.318,83.1342,20.6767,25.5848,0.808165,389.369,606.563,0.407204 
28,3.78,35,28,52089.5,0,5,101,125,0,5,135,-3.5773,-5.9905,-13.7269,-4.38537,-6.98043,-189.573,8.98559,56758.7,-47.7432,16439.4,-2.84483,-5.25803,-12.2619,-3.6529,-6.24796,0.594857,20.0643,57589.6,-36.6645,-0.838346,0.000199046,1.00035,-23.9331,256.301,279.357,0.195318,78574.8,1.20747e-06,0.221604,107.341,88.1212,23.2196,23.9978,0.967571,491.029,533.649,0.423939 
29,4.43,35,29,53584.8,0,5,101,125,0,5,135,-1.22182,-6.59356,-5.58401,-1.84735,-1.42472,-254.188,6.16787,57808.1,-40.3608,16439.4,-0.239691,-5.61142,-3.61975,-0.865213,-0.442586,0.664175,21.0226,58922.2,-25.506,-2.19339,0.000203836,1.00024,-9.58456,329.593,365.912,0.267168,80590.6,1.21771e-06,0.285189,108.55,86.18,23.4884,24.4696,0.959903,502.466,554.838,0.433602 
30,4.17,35,30,49391.2,0,5,101,125,0,5,135,-4.46751,-3.00489,-0.304616,-0.536971,-5.11617,-191.51,-3.89312,53884.4,-43.6491,16439.4,-3.72756,-2.26493,1.1753,0.202985,-4.37621,1.13073,7.29871,54723.7,-32.4572,-0.230607,7.62077e-05,1.00032,-31.65,293.661,341.401,0.220879,74897.1,1.18833e-06,0.266451,108.186,86.8096,23.7198,25.3345,0.936265,512.416,594.756,0.464561 
31,3.39,35,31,49030.4,0,5,101,125,0,5,135,-3.39387,-4.27711,-6.55875,-2.5476,-3.53635,-224.432,-6.99667,53977.9,-57.5782,16439.4,-2.52671,-3.40995,-4.82443,-1.68044,-2.66919,0.680728,6.11912,54961.5,-44.4624,-0.129544,6.36157e-05,1.00044,-47.2357,284.215,321.386,0.251499,74718.1,1.18739e-06,0.254534,106.591,86.7884,22.2568,23.461,0.948673,451.152,510.041,0.403992 
32,0.92,35,32,49345.6,0,5,101,125,0,5,135,-8.03177,-4.8583,-10.4664,-4.45264,-3.46854,-270.17,2.28075,54618.8,-48.1066,16439.4,-6.98789,-3.81442,-8.37869,-3.40876,-2.42465,0.665046,18.0695,55803,-32.3179,-0.872416,0.000184999,1.00031,-20.712,292.782,283.996,0.231674,76055.3,1.19443e-06,0.241417,106.506,87.6647,23.2402,22.6669,1.02529,491.9,476.101,0.405161 
33,3,35,33,49033.1,0,5,101,125,0,5,135,-2.25702,-1.31859,-6.08766,-6.23797,-5.28884,-124.766,-6.00239,53692,-38.6315,16439.4,-1.77495,-0.836519,-5.12352,-5.7559,-4.80677,0.719991,1.28892,54238.9,-31.3402,-0.0354884,1.35791e-05,1.00031,-36.3193,280.233,389.327,0.286244,75241.7,1.19015e-06,0.277533,105.806,84.9607,21.1509,24.7254,0.85543,407.432,566.501,0.403669 
34,1.96,35,34,48636.2,0,5,101,125,0,5,135,-4.04758,-0.842822,-10.7042,-5.13723,-5.47319,-162.831,-1.52813,53243.8,-35.9217,16439.4,-3.41843,-0.213674,-9.44586,-4.50809,-4.84404,0.578876,7.98773,53957.5,-26.4059,-0.337045,8.45857e-05,1.00027,-23.6993,248.463,339.382,0.271131,72851.1,1.17741e-06,0.24663,104.832,85.2398,20.2579,23.4862,0.862544,373.755,511.138,0.371222 
