cyc,time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
13,3.26,13,48310.1,0,5,101,125,0,5,135,-3.0125,-6.12939,-14.31,-1.52139,-2.76013,-119.086,-18.7654,52772.9,-37.5422,16439.4,-2.55238,-5.66926,-13.3898,-1.06126,-2.3,0.463823,-11.806,53294.9,-30.5829,0.243396,-0.000126601,1.00031,-48.5055,309.945,299.626,0.209984,75256.9,1.19023e-06,0.256035,107.562,90.7556,24.8321,24.2004,1.0261,561.598,542.697,0.463831 
14,4.3,14,48256.9,0,5,101,125,0,5,135,-3.66345,-5.01899,-10.6332,-3.10862,-6.84101,-157.804,-17.9334,52756.7,-40.7802,16439.4,-3.05373,-4.40927,-9.41379,-2.4989,-6.23129,0.632374,-8.71135,53448.4,-31.5581,0.187015,-9.31436e-05,1.00032,-46.5811,232.028,319.809,0.218697,74858.4,1.18813e-06,0.229273,108.89,87.4438,21.1139,24.5521,0.859963,406.01,558.588,0.400821 
15,3.65,15,46686.8,0,5,101,125,0,5,135,-3.96024,-8.38356,-6.4198,-5.27806,-1.73396,-112.64,-8.70703,51099.4,-30.3278,16439.4,-3.52502,-7.94834,-5.54936,-4.84284,-1.29874,0.760435,-2.12434,51593.1,-23.7451,0.0693809,-2.3529e-05,1.00025,-30.6185,296.289,318.252,0.237038,72476.8,1.17539e-06,0.261252,108.476,89.9842,23.1665,23.7742,0.974435,488.785,523.753,0.430466 
16,1.7,16,43150.4,0,5,101,125,0,5,135,-5.52114,-8.15832,-12.6202,-3.51571,-3.7611,-65.9909,-11.857,47663,-46.0293,16439.4,-5.26617,-7.90334,-12.1102,-3.26073,-3.50612,0.622105,-8.00052,47952.2,-42.1728,0.136509,-9.53483e-05,1.00048,-58.6079,240.162,316.027,0.246843,67419.3,1.14739e-06,0.240106,105.694,86.0646,20.5433,23.3627,0.879317,384.359,505.778,0.38427 
17,1.18,17,48196.4,0,5,101,125,0,5,135,-4.00711,-4.99768,-9.18491,-5.58237,-5.69322,-127.736,-8.33901,52892.5,-17.2716,16439.4,-3.51357,-4.50413,-8.19782,-5.08882,-5.19967,0.690695,-0.87414,53452.3,-9.80672,0.0691446,-9.34502e-06,1.0001,-12.6422,240.908,324.842,0.210617,74979.1,1.18877e-06,0.235323,106.278,91.3081,21.8164,25.0594,0.870586,433.475,581.909,0.422486 
18,0.4,18,47548.2,0,5,101,125,0,5,135,-6.27471,-3.80323,-8.9294,-4.63719,-4.34546,-229.482,-15.3286,52130.7,-45.7667,16439.4,-5.38804,-2.91656,-7.15606,-3.75051,-3.45879,0.684337,-1.91771,53136.5,-32.3557,0.0470667,-2.06234e-05,1.00033,-40.7446,299.473,280.067,0.195495,74511.2,1.18629e-06,0.244129,107.441,92.3568,25.1157,24.0342,1.045,574.498,535.269,0.467455 
19,2.48,19,46862.4,0,5,101,125,0,5,135,-6.82303,-2.00175,-8.63719,-1.52588,1.33553,-129.998,-15.8449,51242.5,-43.3067,16439.4,-6.32074,-1.49947,-7.63261,-1.02359,1.83782,0.478597,-8.24776,51812.3,-35.7096,0.161406,-9.09714e-05,1.00037,-51.0993,258.793,295.885,0.190565,72620.7,1.17617e-06,0.23527,107.584,88.7465,23.5615,24.9454,0.944523,505.597,576.626,0.45907 
20,0.14,20,45552.9,0,5,101,125,0,5,135,-6.04305,-6.36366,-10.9882,-5.01497,-5.1254,-169.415,-7.53855,49603.3,-29.23,16439.4,-5.38846,-5.70908,-9.67899,-4.36038,-4.47081,0.673092,2.36207,50345.9,-19.3294,-0.11338,2.68088e-05,1.00021,-20.8332,345.81,385.204,0.231895,70999,1.16735e-06,0.312653,108.016,87.4601,25.324,26.4457,0.957583,584.067,648.073,0.527039 
21,2.87,21,47051.2,0,5,101,125,0,5,135,-2.68519,-2.2644,-1.81185,-1.53459,-1.41978,-160.641,-14.3938,51519.9,-37.9289,16439.4,-2.06451,-1.64372,-0.570478,-0.913911,-0.799098,0.904789,-5.00594,52224,-28.5411,0.127523,-5.47774e-05,1.0003,-39.2552,356.796,361.354,0.254643,73628.6,1.18159e-06,0.303886,108.13,89.9383,24.8276,24.736,1.00371,561.396,566.984,0.477479 
22,1.83,22,47559.6,0,5,101,125,0,5,135,-0.834778,-4.98426,-4.99029,-4.64326,-2.55031,-208.033,-20.7071,51922.5,-47.6677,16439.4,-0.0309787,-4.18047,-3.38269,-3.83946,-1.74651,0.743349,-8.5496,52834.3,-35.5102,0.167109,-9.24767e-05,1.00036,-51.1619,241.555,298.438,0.236638,72883.1,1.17759e-06,0.228004,106.446,85.0558,20.9222,23.0195,0.908892,398.671,491.026,0.375722 
23,4.69,23,48442.8,0,5,101,125,0,5,135,-4.80967,-4.90576,-9.15034,-1.4266,-2.76097,-146.324,-11.0873,53240,-43.2519,16439.4,-4.2443,-4.34039,-8.0196,-0.861229,-2.1956,0.592108,-2.53616,53881.3,-34.7007,0.0574091,-2.68975e-05,1.00035,-44.177,238.486,313.546,0.22055,75256.9,1.19023e-06,0.229747,109.071,87.4815,21.3167,24.2213,0.880082,413.847,543.635,0.398512 
24,3.91,24,45856,0,5,101,125,0,5,135,-1.44544,-5.88708,-9.47743,-4.62521,-5.01735,-134.688,-12.5551,50500.7,-27.2927,16439.4,-0.925036,-5.36667,-8.43661,-4.1048,-4.49694,0.63838,-4.68396,51091,-19.4216,0.167345,-5.23906e-05,1.00021,-27.9899,281.944,335.791,0.257967,72266.8,1.17426e-06,0.262031,108.342,88.3505,21.9373,23.7082,0.925305,438.294,520.847,0.406888 
25,0.27,25,45452.2,0,5,101,125,0,5,135,-3.42605,-2.96931,-13.5928,-7.31019,-2.18871,-134.588,-17.8344,49896.1,-26.4432,16439.4,-2.90602,-2.44929,-12.5528,-6.79017,-1.66869,0.52392,-9.96911,50486,-18.5779,0.308999,-0.000112849,1.0002,-32.2626,332.142,341.539,0.226423,71143,1.16814e-06,0.288329,107.858,92.0391,24.9841,25.0902,0.995772,568.496,583.34,0.492982 
26,1.31,26,45370.5,0,5,101,125,0,5,135,-3.95963,-2.94542,-5.06461,-3.83457,-5.23366,-89.0686,-8.28548,49984.5,-22.2875,16439.4,-3.61548,-2.60128,-4.37632,-3.49043,-4.88952,0.76934,-3.08031,50374.9,-17.0824,0.130637,-3.49428e-05,1.00018,-23.5792,220.383,314.224,0.2103,71280.3,1.16889e-06,0.225131,105.998,88.302,20.8694,24.709,0.844609,396.66,565.746,0.405272 
27,2.61,27,48691.9,0,5,101,125,0,5,135,-5.71033,-7.29983,-5.36024,-1.49124,-0.373697,-136.913,-34.6969,53175.3,-36.8832,16439.4,-5.18133,-6.77082,-4.30223,-0.962236,0.155309,0.747837,-26.6957,53775.4,-28.882,0.435108,-0.000283754,1.00029,-61.3541,317.146,347.782,0.230589,75344.9,1.1907e-06,0.278922,107.646,89.2991,24.257,25.1211,0.9656,535.885,584.778,0.470143 
28,3.78,28,49659.5,0,5,101,125,0,5,135,-1.67076,-2.86737,-5.11021,-3.217,-0.989669,-142.141,-21.3652,54268.4,-46.3297,16439.4,-1.12156,-2.31817,-4.0118,-2.66779,-0.440465,0.620087,-13.0585,54891.4,-38.023,0.222514,-0.00013596,1.00038,-58.6861,297.418,344.037,0.250911,76946,1.19907e-06,0.266772,108.245,88.5899,22.7588,24.2369,0.939017,471.735,544.334,0.422607 
29,4.43,29,48634.2,0,5,101,125,0,5,135,-4.57619,-1.07525,-1.60933,-2.39753,-2.95776,-136.295,-30.7358,52954.1,-41.3758,16439.4,-4.04957,-0.548633,-0.556092,-1.87091,-2.43114,0.941194,-22.7707,53551.4,-33.4107,0.362224,-0.000243037,1.00034,-62.8636,236.844,320.259,0.2234,75287.2,1.19039e-06,0.231362,109.252,86.8915,21.1676,24.3237,0.870244,408.075,548.243,0.397344 
30,4.17,30,48163.1,0,5,101,125,0,5,135,-4.09931,-4.36425,-7.20954,-1.32527,-1.07087,-99.2542,-2.25934,52640,-24.5148,16439.4,-3.71581,-3.98075,-6.44254,-0.941773,-0.687367,0.591423,3.54108,53075,-18.7144,-0.187199,3.81233e-05,1.00019,-18.9162,253.54,333.409,0.241854,74831.6,1.18799e-06,0.244737,108.835,87.5207,21.2849,24.1491,0.881393,412.61,540.4,0.397481 
31,3.39,31,48647.2,0,5,101,125,0,5,135,-3.114,-2.73812,-4.57802,-4.21559,-2.58082,-148.271,-25.5689,53072.1,-38.6539,16439.4,-2.54111,-2.16523,-3.43223,-3.64269,-2.00793,0.751093,-16.9039,53722,-29.989,0.319601,-0.000179836,1.0003,-52.8907,301.222,300.125,0.212191,74478,1.18611e-06,0.253494,107.883,90.3691,24.3636,24.1027,1.01082,540.607,538.325,0.454818 
32,0.92,32,45957.5,0,5,101,125,0,5,135,-4.53315,-2.62538,-9.64602,-2.04641,-2.45672,-165.906,-24.1555,50774.4,-36.8519,16439.4,-3.89212,-1.98435,-8.36396,-1.40538,-1.81569,0.521006,-14.4599,51501.6,-27.1564,0.307347,-0.000160464,1.00029,-47.0476,286.828,292.751,0.237808,72274.5,1.1743e-06,0.246764,106.096,93.1105,22.754,22.7341,1.00087,471.535,478.927,0.404681 
