cyc,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
70,1.65,70,6845.07,-0.264606,14.647,12.1999,92.6809,-0.0204765,90.3231,44.7745,1.45852,1.65217,-2.64134,1.0704,1.77819,-238.697,311.277,58.8947,7721.68,5877.22,2.96153,3.15519,0.364687,2.57342,3.2812,0.970437,646.074,83.6944,8056.48,0.0890843,0.815195,0.0187773,7252.38 
71,1.55,71,5084.44,-0.251895,11.686,11.8952,92.6213,0.407309,-683.622,161.414,3.60008,2.43256,0.89857,-3.8408,-5.39327,-248.846,114.667,8.43439,6221.83,13589.5,5.167,3.99947,4.0324,-2.27389,-3.82635,0.431947,463.697,34.2885,6570.86,0.0792401,0.885422,0.00952107,5851.8 
72,1.35,72,9526.26,-0.226019,19.4381,11.9639,92.4494,0.376522,11.9832,330.414,0.295791,0.15396,0.492645,-2.49523,1.76555,-294.107,121.48,38.6345,10632.5,7717.34,2.1477,2.00587,4.19647,-0.643316,3.61746,0.629424,533.993,69.191,11045,0.0556769,0.81516,0.0114081,9590.93 
73,2.4,73,5773,-0.426812,16.6352,11.6094,93.1265,-0.382239,423.056,500,0.458646,2.50787,-2.37269,-4.57188,-4.70312,-441.8,2335.28,40.6052,6248.26,11551,3.24054,5.28977,3.1911,-1.78999,-1.92122,0.60162,2954.94,86.5065,6867.93,0.344132,0.951265,0.0226765,8586.65 
74,3,74,2861,-0.0319923,11.1103,11.2305,93.3693,0.168873,-376.088,5.24557e-06,2.52822,4.46852,1.29129,-3.47554,-1.892,-500.213,2921.28,-10.6703,2899.02,6129.29,5.67793,7.61823,7.5907,-0.325835,1.25771,0.652102,3622.87,41.2998,3600.61,0.550976,0.980441,0.0206921,6575.38 
75,5,75,3222.69,-0.091208,16.1668,11.2147,93.8004,0.0367606,-161.276,2.83978e-09,7.22869,2.5331,-0.98876,-3.58371,-1.87593,-988.335,7199.56,37.6608,1177.74,6095.13,13.452,8.75638,11.4578,2.63958,4.34735,0.718157,8585.8,140.345,2563.98,0.803293,0.97219,0.091596,10688.3 
76,1.45,76,7567.69,-0.181353,15.7397,12.1249,92.5639,0.286536,85.312,500,-4.10662,-1.61088,4.51983,-3.30406,-1.81309,-239.733,14.4912,26.2712,8731.87,7008.29,-2.59709,-0.101343,7.53889,-1.79452,-0.30356,-1.74904,350.74,51.1785,9068.12,0.045044,0.796589,0.0102895,7786.6 
77,1.4,77,6983.41,-0.237875,14.7861,12.0833,92.4645,-1.05089,540.841,223.613,-1.22019,-3.16059,-5.21456,-2.15473,1.84383,-244.615,68.235,50.8974,7908,24318.3,0.320086,-1.62032,-2.134,-0.614455,3.38411,-2.21105,411.331,76.312,8251.09,0.0573106,0.754906,0.0167517,7177.23 
78,1.75,78,7192.1,-0.311651,15.7453,12.1661,92.3802,-0.413091,217.045,477.245,-0.544964,-1.09813,-0.64821,-10.735,-1.52274,-293.276,433.099,62.5523,8101.12,9154.54,1.30172,0.748553,3.04516,-8.88828,0.32394,1.87784,844.447,93.0225,8512.47,0.107921,0.83838,0.0197329,7824.67 
79,1.3,79,9138.61,-0.226752,18.3416,12.2246,92.5345,0.548889,284.629,3.22452,3.29008,-4.0418,2.5828,-0.271079,-3.83504,-196.771,70.8382,56.3102,10191.8,12384.9,4.5291,-2.80279,5.06083,0.967937,-2.59603,0.0190393,346.829,76.754,10467.7,0.038837,0.720836,0.0133271,8930.38 
80,2.8,80,4289.63,0.00308358,14.0987,11.0963,93.2639,-0.00299865,7.78004,3.00978e-11,4.85397,0.953552,2.19206,-3.93546,-2.39951,-634.755,3069.33,22.3017,4207,5093.51,8.85085,4.95043,10.1858,0.061423,1.59737,0.602828,3959.63,88.2502,5097.31,0.486476,0.962461,0.0309069,8139.42 
81,1.8,81,5488.45,-0.019342,11.5316,12.4116,92.838,-0.0696712,72.9919,500,-3.20956,-0.591491,1.43763,-1.87889,-1.61384,-210.163,305.417,33.0356,6478.72,4824.75,-1.88622,0.731849,4.08431,-0.555547,-0.290502,-0.959948,600.191,54.8707,6773.49,0.0975214,0.862078,0.0147031,6154.45 
82,1.6,82,8757.23,-0.288371,18.3023,12.18,92.3644,-0.053031,91.2362,158.523,6.07732,0.743152,2.95011,-2.79355,2.97316,-279.808,473.251,97.1048,9597.22,7414.36,7.8392,2.50503,6.47386,-1.03167,4.73504,0.684532,865.708,126.176,9989.68,0.0955819,0.796775,0.0227379,9057.24 
83,2,83,7286.32,-0.380885,16.6462,12.1026,92.5343,22.2327,19333.5,434.223,4.85724,-0.310075,2.26554,-1.34067,4.82707,-373.054,1044.15,71.9145,8047.82,1.39991e+07,7.20626,2.03895,6.96359,1.00835,7.17609,0.714528,1567.39,110.673,8571.06,0.182347,0.890022,0.0232335,8595.66 
84,6,84,3289.91,-1.082,16.0644,12.0865,93.6644,-0.266432,1669.23,495.075,1.08243,0.15777,-0.432507,-4.51594,1.75285,-811.088,5657.99,11.2686,2297.36,20798.3,6.18963,5.26497,9.7819,0.591261,6.86005,0.659023,6795.62,95.5374,3434.99,0.70697,0.975988,0.0487374,9612.32 
85,7,85,3797.74,-0.68538,13.1782,12.1577,93.0608,0.210256,544.083,36.279,4.08186,-0.643237,0.720033,0.812948,-1.12367,-534.417,3063.88,20.2698,3759.09,8939.58,7.44694,2.72184,7.4502,4.17803,2.24141,0.690071,3813.45,75.7936,4508.67,0.507745,0.966387,0.0300368,7510.55 
86,8,86,8381.99,-0.167283,18.9694,12.2137,93.0382,0.161733,44.7154,1.08563e-11,0.264081,7.05237,4.39481,-1.65687,1.57778,-423.62,1878.9,59.4629,8776.49,7777.57,2.93151,9.7198,9.72966,1.01056,4.24521,0.647945,2473.07,103.475,9370.66,0.243484,0.931774,0.0199359,10157 
87,9,87,7742,-0.0255623,15.8715,12.372,92.6789,-0.00700307,8.52533,500,2.5246,1.26967,-2.02686,-2.39249,1.74935,-254.77,515.223,75.9098,8735.88,6394.17,4.12881,2.87389,1.18157,-0.788268,3.35356,0.890082,872.563,102.379,9093.22,0.104762,0.829648,0.0203186,8329.01 
88,10,88,8770.29,-0.392009,18.6212,12.6178,92.2445,0.103009,55.3336,158.668,-3.61214,-4.93418,2.44951,0.239875,-1.95932,-316.534,884.016,96.3559,9403.61,7834.23,-1.61901,-2.94106,6.43577,2.233,0.0338106,-0.553589,1327.98,129.243,9847.58,0.14123,0.854472,0.0236056,9403 
89,6,89,3183.42,-1.03792,15.519,12.0401,93.7183,-1.87494,3298.01,488.699,3.27172,3.13806,2.19234,1.47526,-2.94689,-825.318,5361.68,25.196,2358.03,207378,8.46853,8.33487,12.586,6.67207,2.24992,0.671482,6519.27,110.943,3515.62,0.693386,0.97108,0.0549382,9402.08 
90,7,90,4146,-0.0419028,14.0591,11.4982,93.1699,0.00298415,-27.6061,499.908,5.90378,0.82934,-0.882192,-7.45871,1.14445,-641.805,3386.21,71.7226,4173.05,5265.09,9.94506,4.87062,7.20036,-3.41743,5.18573,0.697265,4286.4,138.404,5073.24,0.507479,0.946516,0.04785,8446.46 
91,8,91,4808.42,-0.12369,12.5026,11.9124,92.8476,-0.682927,178.677,499.984,0.559843,2.14143,-1.55541,-1.44759,-3.50387,-390.028,1209.32,24.6359,5745.05,8820.64,3.01575,4.59733,3.3564,1.00832,-1.04797,0.692914,1756.37,65.1583,6292.11,0.253961,0.939036,0.018719,6915.89 
92,9,92,8730.76,-0.00309619,17.9439,12.4296,92.6202,0.00292665,2.29291,1.33577e-11,-1.90323,5.10666,4.61825,-2.19854,-3.63205,-321.732,681.519,82.7551,9755.62,7260.74,0.122626,7.13252,8.66997,-0.172677,-1.60618,0.387119,1132.78,116.182,10206.9,0.119209,0.847827,0.0205375,9502.43 
93,10,93,5854.38,-0.23126,12.6865,12.229,92.589,-0.0484552,-10.9199,1.3997e-05,1.82253,-1.85828,-0.964512,-5.09517,1.27699,-276.558,237.286,32.2777,6876.31,5067.65,3.56395,-0.116865,2.51832,-3.35375,3.0184,0.5527,625.186,61.0111,7264.21,0.0949865,0.854131,0.0152359,6581.84 
94,6,94,2885.3,-0.25131,13.2391,11.4083,93.4116,-0.121212,-15.4711,0.0988783,7.26606,0.141505,5.85545,-2.43683,2.55338,-776.703,4792.73,26.3908,2082.68,4977.73,12.1568,5.0322,15.6368,2.45386,7.44408,0.634001,5882.13,107.087,3172.09,0.693382,0.969124,0.0585471,8483.24 
95,7,95,5586.58,-0.221435,16.2177,11.9721,93.4053,0.220047,-92.3948,500,3.35668,6.69189,3.0489,5.35314,-0.559127,-680.95,3706.72,100.826,5137.78,6982.37,7.64444,10.9796,11.6244,9.6409,3.72863,0.733495,4661.82,171.574,6092.88,0.482691,0.93949,0.049315,9657.98 
96,8,96,5744.49,-0.105029,14.4107,11.5702,92.7845,0.140568,-61.8672,500,4.35534,3.49591,7.4412,-1.70616,-1.54553,-441.902,1517.21,48.9011,6317.04,5710.85,7.13788,6.27845,13.0063,1.07638,1.23702,0.547387,2137.02,94.8131,6936.85,0.273094,0.927952,0.0245596,7825.24 
97,9,97,7912.48,-0.00739542,16.3707,12.272,92.8816,-0.0227556,3.902,500,-1.37076,1.59599,1.10493,0.489574,3.02313,-278.876,456.498,52.6765,8915.69,6542.87,0.385248,3.352,4.61695,2.24558,4.77913,0.699787,847.649,81.6506,9306.84,0.0999674,0.855746,0.0159041,8479.25 
98,10,98,7142.84,-0.273333,14.6773,12.7277,92.7987,0.298747,306.495,479.453,0.0184269,-2.95113,-3.15289,1.07806,-2.18984,-201.301,433.303,49.1479,8032,9061.96,1.28597,-1.68359,-0.617808,2.3456,-0.9223,2.51475,715.648,70.0623,8314.34,0.0949965,0.853733,0.0152856,7533.41 
99,1.75,99,9306.61,-0.286868,19.9891,12.0968,92.6836,0.12378,-125.778,500,2.86572,7.39238,2.04038,-0.9247,3.44959,-289.359,689.595,93.7071,10247,8378.32,4.68774,9.2144,5.68442,0.897316,5.2716,0.779293,1095.45,123.77,10652.8,0.111431,0.834916,0.0209541,9830.77 
100,1.3,100,9548.28,-0.00334859,18.5738,12.3058,92.6098,-0.00406993,5.17587,6.69228e-11,1.99551,1.2558,2.96882,-0.321682,3.54078,-222.7,109.131,78.7985,10487.8,7441.25,3.39779,2.65808,5.77339,1.0806,4.94306,0.676614,421.489,101.936,10800.2,0.0454306,0.702625,0.0170893,9277.65 
101,2.8,101,4739.97,-0.864257,16.4464,12.2196,93.2971,-0.764805,1225.33,371.608,0.694496,4.45259,-4.39463,1.64692,0.324399,-671.455,3763.79,38.9019,4764.67,37049,4.92247,8.68056,4.06132,5.8749,4.55237,0.855426,4705.58,108.663,5706.45,0.501401,0.961158,0.033889,9384.86 
102,1.8,102,8489.82,-0.346768,18.283,12.2374,92.6345,0.089092,105.436,0.596704,-1.96047,-0.0420332,-6.18313,-4.11451,-3.31453,-356.061,700.152,77.5222,9433.49,7589.14,0.281549,2.19999,-1.69909,-1.87249,-1.07251,0.214313,1199.56,114.515,9932.9,0.12837,0.856852,0.0207958,9344.54 
103,1.6,103,8039.24,-0.011396,16.1168,12.3874,92.4916,-0.0261459,0.221177,500,-0.226389,-0.248913,-1.07598,2.04527,-0.253892,-261.471,278.505,51.4222,9098.96,6499.3,1.42002,1.3975,2.21685,3.69168,1.39252,0.780913,645.243,78.588,9465.7,0.0767497,0.824305,0.0150635,8407.11 
104,2,104,5889.23,-0.405037,14.5153,-11.9568,92.8974,-0.0465254,-85.1851,499.181,0.437673,4.20663,12.3948,-0.189492,-0.246235,-342.615,893.963,46.2137,6852.68,5778.88,2.59503,6.36398,16.7095,1.96786,1.91112,0.434487,1374.51,81.81,7333.23,0.186053,0.905667,0.0201368,7387.77 
105,6,105,2837.33,-1.02237,15.1237,11.7411,93.5809,-3.06706,1338.45,229.979,1.59472,-5.31932,3.88253,-3.93677,-5.69133,-822.819,5267.03,0.505799,2082.95,139415,6.77579,-0.138249,14.2447,1.24431,-0.510253,0.341021,6421.11,85.9935,3237.03,0.707523,0.9771,0.0466535,9075.48 
106,7,106,1874.53,-0.0902578,8.22536,10.9608,93.2543,-0.017697,95.4859,500,2.91133,1.7657,2.81244,-5.18459,-0.040076,-457.637,1824.79,-0.828222,2498.12,2989.9,5.79294,4.64732,8.57567,-2.30297,2.84154,0.561448,2466.67,46.7184,3140,0.489276,0.967919,0.0266766,5041.47 
107,8,107,7514.78,-0.369584,18.4532,12.1104,93.093,0.610829,268.16,2.28007e-05,2.51577,1.94996,4.55408,-0.997132,1.91358,-438.594,2084.07,69.2561,7938.76,12607.1,5.27748,4.71167,10.0775,1.76458,4.6753,0.619811,2699.24,114.824,8553.93,0.277887,0.930714,0.024131,9713.46 
108,9,108,6741.16,-0.217061,14.7249,12.0689,92.6157,-0.453241,411.994,20.3318,-2.48516,0.859038,1.04833,1.41438,-1.33073,-262.473,517.422,57.853,7544.83,11863.9,-0.832433,2.51176,4.35378,3.0671,0.32199,0.537923,885.566,85.123,7912.97,0.12009,0.856007,0.0194312,7374.21 
109,10,109,7585.43,-0.260788,15.1856,12.7976,92.6571,0.365774,-469.987,272.398,2.13543,2.39658,9.20663,0.52096,2.07151,-234.091,340.65,76.1912,8428.75,11922.6,3.60944,3.87059,12.1547,1.99497,3.54552,0.517197,668.986,100.512,8757.09,0.0852234,0.791809,0.0207056,7849.8 
110,6,110,1700.64,-0.0285236,-10.266,11.0094,93.5413,0.0689946,15.6626,4.8016e-07,5.38009,0.92407,9.0806,0.563345,-1.05073,-646.263,3809.56,25.9962,1559.05,3714.45,9.44944,4.99342,17.2193,4.63269,3.01861,0.562,4716,93.1404,2465.5,0.699941,0.966592,0.0650625,6737.71 
111,7,111,3314.84,-0.188286,12.3782,11.354,93.2481,0.325023,123.554,3.11435e-07,3.51634,-1.2201,2.61497,-2.72745,-0.575742,-574.002,2952.97,9.2133,3588.93,5882.4,7.13068,2.39423,9.84364,0.886887,3.03859,0.577418,3758.06,68.8498,4394.02,0.510526,0.968935,0.0280541,7361.16 
112,8,112,7049.28,-0.522774,17.1838,-12.3607,92.7942,1.21192,-662.943,0.644048,2.74513,0.864932,0.11456,0.354961,0.130677,-436.549,1859.09,58.6305,7546.44,33069,5.49396,3.61377,5.61223,3.1038,2.87951,0.728921,2471.39,103.986,8158.74,0.269757,0.931417,0.0229398,9161.56 
