cyc,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
18,1.8,18,7533.5,-0.329587,16.6429,12.1387,92.6289,0.0379629,90.602,500,-2.15811,2.84948,0.777122,2.92463,1.19821,-343.196,643.722,67.6656,8506.84,6688.53,0.0028991,5.01049,5.09915,5.08564,3.35922,0.725223,1125.09,103.322,8988.21,0.132435,0.861541,0.0207365,8495.42 
19,1.6,19,5075.75,0.000287982,10.9287,11.881,92.8865,0.00842136,-0.780724,1.34197e-11,2.30326,3.27879,-1.97311,1.13176,2.18838,-233.478,58.5878,27.485,6225.24,4227.09,3.77342,4.74894,0.967195,2.60191,3.65853,0.938591,386.064,51.7425,6552.72,0.0670332,0.810015,0.0143373,5759.29 
20,2,20,7878.69,-0.190227,17.7341,11.7192,92.29,0.123156,63.5005,0.0253834,0.866704,-2.95039,-0.363651,5.39699,-2.7864,-328.067,1024.94,48.0829,8586.53,7020.13,2.93245,-0.884645,3.76785,7.46274,-0.720652,0.699958,1485.08,82.1677,9046.68,0.1668,0.911722,0.0164559,8903.36 
21,4,21,2091.95,-0.193361,12.6939,11.0521,93.9867,0.216363,74.8498,3.81607e-08,7.79952,-1.96459,11.2567,-3.23971,-4.12942,-854.92,5350.27,0.346317,1077.9,5094.24,13.1827,3.41861,22.0231,2.14349,1.25378,0.475911,6549.38,89.1691,2277.01,0.778157,0.976728,0.0672843,8416.53 
22,2.6,22,3574.54,-0.065083,11.4404,11.3215,93.0538,-0.00174055,91.2317,500,-2.90664,-2.58955,5.38735,1.69665,-0.72563,-432.125,2068.15,13.8061,4093.16,4221.57,-0.185665,0.131419,10.8293,4.41762,1.99534,0.369951,2674.25,58.7022,4699.26,0.409681,0.963007,0.0224936,6527.64 
23,1.2,23,6529.93,-0.0173918,13.5777,11.9813,92.6377,-0.0365802,32.1953,500,4.75355,-1.1205,-1.59317,-0.253132,3.9821,-288.467,119.003,57.5608,7536.68,5334.06,6.56995,0.695898,2.03963,1.56327,5.7985,0.877626,523.607,87.5314,7941.29,0.074424,0.773666,0.0199002,7035.46 
24,2.1,24,6154.77,-0.286174,14.2572,12.4205,92.6923,-0.599646,297.861,500,-3.37343,-1.23493,1.89274,1.13935,-0.284713,-382.817,1234.67,49.3024,6751.93,11579,-0.962929,1.17557,6.71373,3.54985,2.12578,0.467249,1771.61,89.0756,7288.87,0.22864,0.919127,0.0220163,7748.48 
25,3.5,25,1894.63,-0.00629031,11.5074,10.6572,93.7857,0.00572773,3.56083,8.32409e-12,2.24209,0.254103,-4.83344,0.975544,-2.49511,-637.241,4222.59,-9.81899,1821.63,3992.88,6.25463,4.26664,3.19164,4.98808,1.51742,0.842142,5116.38,56.3879,2715.42,0.696767,0.981078,0.0368435,7343.02 
26,0,26,5421.93,-0.00150407,11.2944,12.2083,92.8218,-0.0239795,20.1268,500,-1.42442,3.81018,4.80636,-0.0753575,-2.39926,-257.245,-21.2243,16.229,6579.55,4504.33,0.195382,5.42998,8.04596,1.54444,-0.779463,0.442658,339.586,42.9558,6940.36,0.0563098,0.818756,0.0112728,6030.68 
27,2.2,27,5021.38,-0.424592,13.0431,12.054,92.9857,-0.192433,138.789,34.0705,1.80205,-3.63127,1.18692,-3.79618,-2.98173,-403.54,1237.55,24.0385,5803.55,5987.5,4.34304,-1.09029,6.26888,-1.2552,-0.440751,0.198934,1803.56,65.9647,6369.55,0.256676,0.939844,0.0187202,7026.59 
