cyc,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,sumBZ1,sumBZ2,fractionBZ0,fractionBZ1,fractionBZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
0,150,0,114838,0,5,131,50,0,5,135,478.11,9979.02,79033.2,9594.31,310.405,148.327,-7.13456,-3.87677,1.20345,21322.4,344.48,9845.39,78775.8,9460.68,176.775,19306.1,521.255,0.798918,0.195796,0.00528639,0.196836,-8.34353,-4.48126,-0.00552986,0.999278,0.515487,0.999331,-8.34956 
1,155,1,110779,0,5,131,50,0,5,135,452.664,9384.59,77090,8873.52,234.555,111.605,2.43252,3.54531,-2.59456,21322.4,352.117,9284.04,76896.3,8772.97,134.008,18057,486.125,0.805708,0.189199,0.00509355,0.190167,1.52285,3.09048,-3.50423,-0.663044,0.21971,2.60101,-2.29676 
3,165,3,108291,0,5,131,50,0,5,135,465.367,8896.96,76351.3,8324.52,163.995,113.002,12.1981,5.34312,5.86531,21322.4,363.561,8795.15,76155.2,8222.72,62.1898,17017.9,425.751,0.813634,0.181817,0.00454868,0.182648,11.277,4.88259,4.94426,0.676638,0.568928,0.645281,16.6663 
4,170,4,111232,0,5,131,50,0,5,135,508.319,9387.25,77335.4,8899.42,280.536,73.5664,-5.80641,1.38432,1.97529,21322.4,442.042,9320.97,77207.8,8833.14,214.259,18154.1,656.301,0.804095,0.18907,0.00683517,0.190371,-6.40603,1.08451,1.37566,1.30561,1.42099,0.592207,-4.90656 
5,175,5,100855,0,5,131,50,0,5,135,526.761,7525.14,71990.4,7245.16,274.105,85.2847,-3.00567,0.286339,13.1496,21322.4,449.926,7448.31,71842.4,7168.33,197.271,14616.6,647.197,0.824768,0.167802,0.00742998,0.169059,-3.7008,-0.0612294,12.4544,-0.374783,0.971861,-0.00913907,9.87452 
6,180,6,105185,0,5,131,50,0,5,135,503.492,7994.8,75273.4,7608.91,220.54,96.4127,2.05531,4.55954,-5.19032,21322.4,416.633,7907.95,75106.1,7522.06,133.68,15430,550.312,0.824559,0.1694,0.00604165,0.170429,1.26947,4.16662,-5.97616,-0.242056,0.148285,4.51705,-5.24454 
7,185,7,99726.8,0,5,131,50,0,5,135,454.858,6084.21,74467.9,6046.59,237.303,94.7765,-4.39443,-0.350588,-0.0350551,21322.4,369.473,5998.83,74303.4,5961.2,151.917,11960,521.39,0.85618,0.137812,0.00600785,0.138645,-5.16693,-0.736839,-0.807558,0.854438,0.800281,0.626976,-6.04717 
8,190,8,102199,0,5,131,50,0,5,135,641.742,5923.27,76702.6,5892.55,340.408,147.152,4.17158,1.94738,-3.81477,21322.4,509.171,5790.7,76447.2,5759.98,207.836,11550.7,717.007,0.861718,0.1302,0.00808215,0.131261,2.97218,1.34768,-5.01417,-1.19208,0.557568,-0.980627,-2.49327 
9,195,9,79125.9,0,5,131,50,0,5,135,340.005,1379.2,65974.1,1932.5,168.25,151.294,2.4727,5.36198,0.640354,21322.4,203.702,1242.9,65711.6,1796.2,31.9466,3039.1,235.649,0.952531,0.0440536,0.00341587,0.0442046,1.23954,4.7454,-0.592812,2.08897,0.129876,1.07275,0.593374 
10,200,10,84342.4,0,5,131,50,0,5,135,602.153,1134.35,71047.7,1801.92,234.614,131.068,-3.07723,-1.49553,0.666747,21322.4,484.072,1016.26,70820.3,1683.84,116.533,2700.1,600.604,0.955469,0.0364283,0.00810302,0.0367259,-4.14553,-2.02968,-0.401561,0.904499,0.538557,0.903015,-4.58324 
11,205,11,93690.3,0,5,131,50,0,5,135,706.98,4304.81,72519.5,4320.1,419.229,131.83,6.69238,-1.20534,2.99641,21322.4,588.212,4186.04,72290.8,4201.33,300.461,8387.37,888.673,0.886277,0.102828,0.010895,0.103961,5.61786,-1.7426,1.9219,0.728388,2.18738,2.49197,7.71272 
12,210,12,102918,0,5,131,50,0,5,135,748.272,8079.85,72425,7986.36,483.561,63.0288,-10.2089,-1.99001,-0.0586916,21322.4,691.488,8023.07,72315.6,7929.57,426.777,15952.6,1118.27,0.809021,0.178468,0.0125105,0.180729,-10.7226,-2.24688,-0.572426,0.94501,0.731687,0.878502,-11.3466 
13,215,13,76804,0,5,131,50,0,5,135,1476.25,7900.68,48701.8,7490.83,1067.43,95.7448,-5.77989,-1.31265,2.86715,21322.4,1389.99,7814.42,48535.6,7404.57,981.172,15219,2371.16,0.733989,0.230152,0.0358583,0.238712,-6.56029,-1.70285,2.08675,1.53073,0.687641,2.98723,-4.28573 
14,220,14,57846.5,0,5,131,50,0,5,135,2824.8,7194.09,32032.2,6905.32,2208,-29.9645,-7.53829,-0.0231125,-6.26776,21322.4,2851.79,7221.08,32084.2,6932.32,2234.99,14153.4,5086.78,0.625126,0.275764,0.0991105,0.306102,-7.29405,0.0990047,-6.02353,0.526278,1.02433,-0.0312228,-13.8597 
15,225,15,47352.3,0,5,131,50,0,5,135,2756.99,7104.36,22478,6826.23,2220.48,1.16683,-5.94916,1.97247,-3.95173,21322.4,2755.94,7103.31,22476,6825.18,2219.43,13928.5,4975.37,0.543163,0.336601,0.120237,0.382604,-5.95867,1.96771,-3.96124,0.579839,2.36909,-10.7714,-10.2764 
