cyc,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,sumBZ1,sumBZ2,fractionBZ0,fractionBZ1,fractionBZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
0,140,0,33365.6,0,5,131,50,0,5,135,366.382,2341.72,17754.8,2814.2,267.088,579.455,14.1313,4.89348,11.947,21322.4,164.359,2139.69,17374.5,2612.17,65.0648,4751.87,229.423,0.777181,0.212556,0.0102624,0.222819,10.1701,2.91286,7.98581,0.538823,0.666122,0.401884,18.8746 
1,146,1,41137.4,0,5,131,50,0,5,135,554.427,2438.06,18247.3,3036.05,600.702,1285.29,20.7844,5.88987,19.8979,21322.4,106.318,1989.95,17403.8,2587.94,152.594,4577.89,258.912,0.782524,0.205835,0.0116414,0.217476,11.998,1.49665,11.1115,0.497644,0.820817,0.198795,24.1095 
2,152,2,35449.3,0,5,131,50,0,5,135,420.957,1975.38,17462.3,2408.6,362.568,825.19,16.8947,7.54604,18.89,21322.4,133.26,1687.68,16920.7,2120.91,74.8708,3808.59,208.131,0.808156,0.181903,0.0099406,0.191844,11.2536,4.72548,13.2489,0.43797,0.576421,0.396509,25.6948 
3,158,3,34582.3,0,5,131,50,0,5,135,402.328,1806.32,17095.9,2351.17,345.777,796.369,14.4233,9.10148,16.4099,21322.4,124.679,1528.67,16573.2,2073.52,68.1284,3602.19,192.807,0.813681,0.176853,0.00946607,0.186319,8.9792,6.37943,10.9658,0.428972,0.445768,0.517295,20.9319 
4,164,4,35966.9,0,5,131,50,0,5,135,472.175,1920.58,17601.3,2608.73,466.441,1062.57,11.5126,6.94681,17.1842,21322.4,101.716,1550.12,16904,2238.27,95.9826,3788.38,197.699,0.809188,0.181348,0.00946377,0.190812,4.24866,3.31486,9.92026,0.282083,0.422766,0.381012,15.0617 
5,170,5,38005.8,0,5,131,50,0,5,135,639.31,2148.57,17829.5,2904.5,718.855,1015.54,14.4961,10.6806,12.1827,21322.4,285.248,1794.51,17163,2550.43,364.792,4344.94,650.04,0.774575,0.196089,0.0293366,0.225425,7.55367,7.20939,5.24032,0.569417,0.374498,0.717057,13.2656 
6,176,6,34271.5,0,5,131,50,0,5,135,1029.21,2397.71,16247.1,2704.87,1182.23,493.275,17.2192,8.627,14.8572,21322.4,857.236,2225.74,15923.4,2532.89,1010.26,4758.63,1867.49,0.706152,0.21103,0.0828175,0.293848,13.8471,6.94095,11.4851,0.525192,0.532709,0.5268,26.3659 
7,182,7,35230.4,0,5,131,50,0,5,135,2341.45,2377.43,13870.1,2722.49,2997.23,796.522,13.0396,10.1797,10.9463,21322.4,2063.75,2099.73,13347.3,2444.78,2719.53,4544.51,4783.28,0.588633,0.200418,0.210949,0.411367,7.59443,7.45713,5.5012,0.558795,0.367869,0.714045,13.5907 
8,188,8,37094.8,0,5,131,50,0,5,135,587.782,2516.9,17277.7,2723.95,548.295,781.517,14.1215,10.92,12.399,21322.4,315.312,2244.43,16764.8,2451.48,275.824,4695.91,591.136,0.760245,0.212948,0.0268066,0.239755,8.77898,8.24871,7.05644,0.533012,0.378173,0.682877,16.4705 
9,194,9,33505,0,5,131,50,0,5,135,345.607,2221.26,16688.8,2668.97,280.328,444.932,17.5236,6.71925,13.3448,21322.4,190.485,2066.14,16396.8,2513.84,125.205,4579.99,315.69,0.770075,0.215099,0.0148264,0.229925,14.4819,5.19844,10.3031,0.563229,0.614183,0.481713,25.7124 
10,200,10,29156.9,0,5,131,50,0,5,135,162.785,1826.25,15604.7,2451.24,218.669,113.052,14.3488,4.12285,19.7401,21322.4,123.37,1786.84,15530.5,2411.83,179.254,4198.67,302.624,0.775293,0.2096,0.0151072,0.224707,13.576,3.73643,18.9673,0.396375,0.674928,0.266261,34.2503 
11,179,11,33587.4,0,5,131,50,0,5,135,1221.39,2036.16,14599.9,2486.42,1516.75,839.18,16.756,5.6472,19.1333,21322.4,928.814,1743.59,14049.2,2193.84,1224.17,3937.43,2152.99,0.69759,0.195507,0.106903,0.30241,11.0193,2.77882,13.3966,0.430078,0.693812,0.276465,25.6215 
12,185,12,37633.4,0,5,131,50,0,5,135,3220.98,2358.75,11560.9,2444.66,4010.39,1532.74,13.5595,10.1896,16.3685,21322.4,2686.6,1824.36,10555,1910.27,3476.01,3734.64,6162.61,0.51608,0.182603,0.301317,0.48392,3.08145,4.95054,5.89041,0.324295,0.262365,0.607563,9.502 
13,187,13,38219.1,0,5,131,50,0,5,135,3216.6,2441.52,10960.1,2537.89,4125.05,1803.67,17.6807,8.33126,18.9152,21322.4,2587.76,1812.68,9776.38,1909.05,3496.21,3721.73,6083.97,0.499251,0.190058,0.310691,0.500749,5.35061,2.1662,6.58506,0.427081,0.585312,0.377325,12.5283 
14,192,14,32648.8,0,5,131,50,0,5,135,329.917,2154.49,16683.4,2594.17,289.758,412.924,14.7115,9.11223,9.01057,21322.4,185.954,2010.52,16412.4,2450.21,145.795,4460.73,331.749,0.773992,0.210363,0.0156449,0.226008,11.8886,7.70083,6.18776,0.638032,0.468701,0.696284,18.6333 
