cyc,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,sumBZ1,sumBZ2,fractionBZ0,fractionBZ1,fractionBZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
0,130,0,28670.6,0,5,131,50,0,5,135,113.29,1742.06,17844.4,1809.28,10.8635,-133.878,10.9284,5.66465,7.93077,21322.4,162.711,1791.48,17937.7,1858.7,60.2847,3650.19,222.995,0.82242,0.167356,0.010224,0.17758,11.8436,6.12225,8.84598,0.551232,0.52504,0.560422,21.4857 
1,135,1,29899.4,0,5,131,50,0,5,135,232.55,1827.13,17018.9,1825.8,157.458,259.034,9.84007,5.32837,11.9655,21322.4,136.927,1731.51,16838.2,1730.18,61.8346,3461.69,198.761,0.82143,0.168874,0.00969631,0.17857,8.06928,4.44297,10.1947,0.42068,0.50928,0.44531,19.1815 
2,140,2,28929.6,0,5,131,50,0,5,135,133.28,1553.1,17925,1528.35,79.9058,30.4079,16.0658,5.15156,11.0832,21322.4,122.055,1541.87,17903.8,1517.12,68.6806,3058.99,190.736,0.846374,0.144609,0.00901673,0.153626,15.8579,5.04762,10.8754,0.572239,0.642248,0.460912,27.712 
3,145,3,31224.6,0,5,131,50,0,5,135,270.729,1461.86,17628.9,1514.88,217.652,391.913,8.93692,9.19271,14.9336,21322.4,126.054,1317.19,17355.7,1370.21,72.977,2687.39,199.031,0.857405,0.132763,0.00983252,0.142595,6.25775,7.85312,12.2545,0.319027,0.312877,0.541388,19.6151 
4,150,4,33517.4,0,5,131,50,0,5,135,440.569,1465.67,18553,1579.23,344.475,559.448,10.9627,8.47744,14.1094,21322.4,234.047,1259.15,18162.9,1372.71,137.953,2631.86,372.001,0.858086,0.124339,0.0175748,0.141914,7.13823,6.5652,10.285,0.389029,0.383213,0.540414,18.3488 
5,155,5,26598.9,0,5,131,50,0,5,135,452.389,1177.23,15687.2,1285.12,458.63,15.9166,20.7218,0.814963,14.1733,21322.4,446.513,1171.35,15676.1,1279.24,452.755,2450.59,899.268,0.823932,0.128803,0.0472654,0.176068,20.613,0.760559,14.0645,0.573487,0.939347,0.0905904,35.9434 
6,160,6,34946.4,0,5,131,50,0,5,135,795.377,1710.66,17239.1,1788.73,900.129,744.731,14.8875,6.76435,19.1588,21322.4,520.458,1435.74,16719.8,1513.81,625.21,2949.55,1145.67,0.803256,0.141703,0.0550404,0.196744,9.79644,4.21881,14.0677,0.389827,0.570245,0.35585,25.1302 
7,165,7,31410.6,0,5,131,50,0,5,135,966.633,1983.81,16178.5,1941.81,1075.16,265.615,9.52537,9.92311,16.1672,21322.4,868.581,1885.76,15993.3,1843.75,977.111,3729.51,1845.69,0.741512,0.172915,0.0855735,0.258488,7.70959,9.01522,14.3514,0.330139,0.32826,0.53643,23.3526 
8,170,8,34031.2,0,5,131,50,0,5,135,1603.25,2208.89,14188.9,2176.91,1784.74,726.087,15.896,4.63509,17.9202,21322.4,1335.21,1940.85,13682.6,1908.88,1516.71,3849.73,2851.92,0.671234,0.188858,0.139908,0.328766,10.9323,2.15327,12.9565,0.436334,0.743668,0.234387,25.055 
9,175,9,30778.1,0,5,131,50,0,5,135,1507.57,2078.24,12115.1,1973.11,1686.72,764.849,15.3359,2.63675,9.87235,21322.4,1225.22,1795.9,11581.7,1690.76,1404.38,3486.66,2629.6,0.654409,0.197009,0.148582,0.345591,10.1073,0.0224386,4.64373,0.666314,0.99613,0.00882254,15.169 
