cyc,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,sumBZ1,sumBZ2,fractionBZ0,fractionBZ1,fractionBZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
0,85,0,66317.6,0,5,131,50,0,5,135,745.914,1090.49,54841,1965.76,513.16,85.399,-6.29278,-0.869412,-3.45712,21322.4,668.976,1013.55,54692.9,1888.82,436.223,2902.37,1105.2,0.931728,0.0494437,0.0188278,0.0682715,-6.98885,-1.21745,-4.15319,0.606891,0.766373,0.350644,-11.5158 
1,86,1,62754.9,0,5,131,50,0,5,135,696.322,634.814,52825.1,1576.74,517.64,42.1256,-1.92313,1.01982,3.9261,21322.4,658.37,596.863,52752,1538.79,479.689,2135.65,1138.06,0.941568,0.0381192,0.0203132,0.0584323,-2.26649,0.848139,3.58274,-1.3831,2.89741,0.30366,1.6387 
2,87,2,63544.7,0,5,131,50,0,5,135,708.573,762.525,53151.8,1526.39,592.592,71.8041,4.67104,1.06292,-1.25422,21322.4,643.883,697.835,53027.2,1461.7,527.902,2159.54,1171.79,0.94089,0.0383179,0.0207916,0.0591096,4.08578,0.770285,-1.83948,1.96361,0.751922,-3.37415,2.08074 
3,88,3,61585.1,0,5,131,50,0,5,135,585.236,630.801,51814.8,1467.17,435.226,90.4619,-0.734592,0.634425,-1.08704,21322.4,503.737,549.302,51657.9,1385.67,353.727,1934.97,857.464,0.948716,0.0355364,0.0157477,0.0512841,-1.47193,0.265756,-1.82438,0.425351,1.46191,-0.366752,-3.4605 
4,89,4,55854,0,5,131,50,0,5,135,268.346,383.121,47872.1,1306.26,216.023,177.018,0.919113,4.98165,12.0862,21322.4,108.868,223.643,47565,1146.78,56.5448,1370.43,165.412,0.968721,0.0279104,0.00336883,0.0312793,-0.523722,4.26023,10.6434,-0.0472778,-0.0755548,0.424408,11.0776 
5,90,5,60917.7,0,5,131,50,0,5,135,188.911,815.296,51019,1634.31,179.743,129.409,0.924943,-3.81922,-4.40137,21322.4,72.3245,698.71,50794.4,1517.73,63.1563,2216.43,135.481,0.955746,0.0417044,0.0025492,0.0442536,-0.129839,-4.34661,-5.45615,0.0213655,0.0167829,0.594732,-6.07705 
6,91,6,60017.3,0,5,131,50,0,5,135,175.593,782.215,50776.7,1715.13,172.67,121.152,-0.337575,-5.64108,-3.92595,21322.4,66.4449,673.067,50566.4,1605.98,63.5221,2279.04,129.967,0.954526,0.0430208,0.00245334,0.0454741,-1.32506,-6.13482,-4.91344,0.198342,0.109863,0.696971,-6.68071 
7,92,7,66219.7,0,5,131,50,0,5,135,203.782,1404.99,54407.8,2249.93,172.55,159.174,-2.7633,2.70308,4.54274,21322.4,60.3799,1261.59,54131.7,2106.53,29.1479,3368.12,89.5278,0.93996,0.0584851,0.00155459,0.0600397,-4.06069,2.05438,3.24535,7.76036,8.72282,0.53834,-0.52326 
8,93,8,60040.6,0,5,131,50,0,5,135,325.119,1433.36,48876.1,2251.72,265.077,66.7253,1.91121,2.9932,-2.38887,21322.4,265.005,1373.25,48760.4,2191.61,204.963,3564.86,469.967,0.923576,0.0675224,0.0089017,0.0764241,1.36735,2.72127,-2.93274,-0.747458,0.223074,2.40988,-1.82933 
9,94,9,66334.7,0,5,131,50,0,5,135,266.044,2808.11,51350.1,3506.08,213.888,55.1289,-3.59342,6.00792,-0.888529,21322.4,216.378,2758.45,51254.4,3456.41,164.222,6214.86,380.599,0.88599,0.107431,0.00657909,0.11401,-4.04276,5.78325,-1.33787,0.734908,-0.665155,1.14362,-5.50104 
10,95,10,54879.6,0,5,131,50,0,5,135,134.792,6151.48,34438.8,6333.2,273.792,35.3429,-8.51384,-0.294989,-0.678523,21322.4,102.951,6119.64,34377.4,6301.36,241.951,12421,344.902,0.729211,0.263473,0.00731603,0.270789,-8.80192,-0.439026,-0.966595,0.893096,0.91972,0.455539,-9.85551 
11,96,11,56684.9,0,5,131,50,0,5,135,104.782,9310.64,29212.8,9033.41,294.353,38.1022,0.193128,-3.20648,-11.7763,21322.4,70.4556,9276.32,29146.7,8999.08,260.026,18275.4,330.482,0.610369,0.38271,0.0069207,0.389631,-0.117435,-3.36176,-12.0868,0.00883496,0.0195708,0.338779,-13.2921 
12,97,12,61188,0,5,131,50,0,5,135,174.542,10714.3,30373.6,10450.9,312.004,57.1484,-3.09679,-3.42644,3.11495,21322.4,123.056,10662.9,30274.5,10399.4,260.518,21062.2,383.574,0.58535,0.407234,0.00741632,0.41465,-3.56259,-3.65934,2.64914,5.27768,0.357459,1.64743,-0.675031 
13,98,13,62943.3,0,5,131,50,0,5,135,130.362,10847.1,31053.8,10946.6,364.131,-7.0612,-11.5252,-5.30073,-0.573105,21322.4,136.724,10853.5,31066.1,10952.9,370.492,21806.4,507.216,0.581983,0.408515,0.00950204,0.418017,-11.4677,-5.27195,-0.51555,0.953286,0.554165,0.949589,-12.0296 
14,99,14,65840.1,0,5,131,50,0,5,135,258.719,9325.91,37271.7,9335.46,326.523,32.5159,0.295297,-2.05291,-1.95973,21322.4,229.425,9296.62,37215.3,9306.16,297.228,18602.8,526.654,0.660493,0.33016,0.009347,0.339507,0.0302668,-2.18542,-2.22476,-0.0126389,-0.00797706,0.644069,-2.39473 
15,100,15,65008.1,0,5,131,50,0,5,135,210.025,1923.64,52130.1,2801.97,176.71,133.298,-1.91595,-6.97093,1.92005,21322.4,89.9346,1803.54,51898.8,2681.88,56.6188,4485.43,146.553,0.918063,0.0793448,0.00259245,0.0819373,-3.00244,-7.51418,0.833563,1.43393,0.185883,1.06408,-2.09385 
