cyc,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,sumBZ1,sumBZ2,fractionBZ0,fractionBZ1,fractionBZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
0,140,0,24820.2,0,5,131,50,0,5,135,210.137,1216.07,13759.3,1064.01,111.707,457.859,12.9182,6.22265,13.8166,21322.4,50.507,1056.44,13458.8,904.378,-47.9224,1960.81,2.58461,0.87269,0.127143,0.00016759,0.12731,9.78821,4.65765,10.6866,0.456613,0.545636,0.445328,21.4366 
1,145,1,21943.3,0,5,131,50,0,5,135,84.0095,964.209,13658.8,924.936,9.16929,4.54382,11.2956,6.17258,12.4556,21322.4,82.4253,962.625,13655.8,923.351,7.58511,1885.98,90.0104,0.873592,0.12065,0.00575816,0.126408,11.2646,6.15705,12.4245,0.454083,0.51111,0.477225,24.8073 
2,150,2,24949.1,0,5,131,50,0,5,135,209.191,1007.9,13698.4,992.84,136.501,373.892,15.869,8.55496,12.7507,21322.4,78.8356,877.55,13453,862.485,6.14581,1740.03,84.9814,0.880547,0.113891,0.00556232,0.119453,13.313,7.27697,10.1947,0.54505,0.5111,0.568014,24.4252 
3,155,3,25706.8,0,5,131,50,0,5,135,292.512,1021.83,13442.1,1131.45,231.506,778.455,3.87352,-3.69884,13.64,21322.4,21.1087,750.425,12931.3,860.047,-39.8966,1610.47,-18.788,0.890402,0.110891,-0.00129367,0.109598,-1.44811,-6.35965,8.31837,-0.190067,0.115135,3.44891,7.61892 
4,160,4,23104.4,0,5,131,50,0,5,135,243.485,885.944,13080.5,979.963,201.652,284.225,9.15308,1.83166,9.52284,21322.4,144.392,786.851,12894,880.87,102.559,1667.72,246.951,0.870706,0.112618,0.0166761,0.129294,7.21008,0.86016,7.57984,0.466005,0.827284,0.172899,15.4721 
5,165,5,18705.1,0,5,131,50,0,5,135,294.999,728.248,12271.6,741.074,301.248,-228.846,7.57434,5.69512,5.4491,21322.4,374.784,808.034,12421.8,820.86,381.033,1628.89,755.818,0.838941,0.110012,0.0510465,0.161059,9.13876,6.47733,7.01352,0.544509,0.446358,0.629804,16.7835 
6,170,6,18435,0,5,131,50,0,5,135,998.651,977.869,11137.2,915.162,1122.64,-294.432,7.74391,4.62628,6.08623,21322.4,1101.3,1080.52,11330.4,1017.81,1225.29,2098.34,2326.6,0.719148,0.133182,0.14767,0.280852,9.75669,5.63267,8.099,0.524988,0.497438,0.561623,18.5846 
7,175,7,13605.6,0,5,131,50,0,5,135,1322.08,722.367,8239.34,650.578,1654.69,-335.93,4.94744,7.93601,5.95605,21322.4,1439.2,839.487,8459.8,767.698,1771.81,1607.18,3211,0.63713,0.121041,0.241829,0.36287,7.2439,9.08424,8.25252,0.446077,0.313029,0.669723,16.2391 
8,180,8,15433.8,0,5,131,50,0,5,135,1751.7,937.627,4844.72,911.819,2223.78,727.622,10.1019,5.68821,5.75142,21322.4,1498.02,683.947,4367.2,658.138,1970.1,1342.08,3468.12,0.475865,0.146238,0.377897,0.524135,5.12776,3.20115,0.777292,0.858201,0.4779,0.883537,5.97501 
9,185,9,13828.9,0,5,131,50,0,5,135,1214.04,845.314,4714.59,830.593,1489.79,679.674,12.0717,8.14004,8.44177,21322.4,977.073,608.35,4268.54,593.629,1252.83,1201.98,2229.9,0.554326,0.156093,0.289582,0.445674,7.42534,5.81686,3.79541,0.6422,0.421778,0.73844,11.5623 
10,190,10,19933.9,0,5,131,50,0,5,135,339.603,994.456,11354.2,973.455,334.613,252.068,8.72083,0.77828,4.12824,21322.4,251.722,906.574,11188.8,885.573,246.731,1792.15,498.453,0.830067,0.132954,0.0369789,0.169933,6.99766,-0.0833059,2.40507,0.727469,1.02128,-0.068155,9.61918 
11,195,11,24372,0,5,131,50,0,5,135,265.88,1136.53,13053.1,1054.55,171.556,568.154,9.00347,5.3077,9.73578,21322.4,67.7966,938.449,12680.2,856.466,-26.5272,1794.91,41.2694,0.87351,0.123647,0.00284294,0.12649,5.11949,3.36571,5.8518,0.445252,0.465008,0.514445,11.4979 
12,200,12,26723.6,0,5,131,50,0,5,135,329.189,1209.27,13441.4,1330.13,255.395,794.526,8.2607,6.57039,13.7897,21322.4,52.1825,932.26,12920,1053.12,-21.6111,1985.38,30.5714,0.865026,0.132927,0.00204683,0.134974,2.8292,3.85464,8.35823,0.236958,0.295484,0.459325,11.9397 
13,187,13,21653.2,0,5,131,50,0,5,135,1078.39,1076.55,8811.7,1044.15,1346.64,1044.34,11.5736,6.2082,7.48821,21322.4,714.287,712.451,8126.33,680.049,982.536,1392.5,1696.82,0.724553,0.124157,0.151291,0.275447,4.43437,2.63857,0.348946,0.921003,0.489885,0.933017,4.81472 
14,182,14,14825.1,0,5,131,50,0,5,135,1271.05,760.023,4968.33,728.034,1536.84,537.055,12.5868,9.75855,5.80607,21322.4,1083.81,572.782,4615.88,540.793,1349.6,1113.58,2433.41,0.565473,0.13642,0.298107,0.434527,8.91542,7.92286,2.13469,0.79303,0.391363,0.872399,11.2422 
15,192,15,21039.9,0,5,131,50,0,5,135,539.686,1007.06,10897.3,1054.97,652.762,499.676,4.68607,4.65917,11.4807,21322.4,365.477,832.852,10569.4,880.756,478.553,1713.61,844.03,0.805162,0.130541,0.0642973,0.194838,1.27021,2.95124,8.06484,0.126252,0.197394,0.402664,10.0609 
