cyc,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,sumBZ1,sumBZ2,fractionBZ0,fractionBZ1,fractionBZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
0,100,0,28017.3,0,5,131,50,0,5,135,263.932,2108.4,16110.7,2418.98,222.858,526.753,-4.66027,4.40135,-5.48697,21322.4,80.2832,1924.75,15765,2235.33,39.209,4160.08,119.492,0.786497,0.207542,0.00596133,0.213503,-8.26122,2.60087,-9.08792,0.454736,2.22693,-1.11502,-18.1671 
1,105,1,36987.2,0,5,131,50,0,5,135,453.775,2475.39,17570.6,2741.3,316.358,681.255,26.4845,9.39811,21.2165,21322.4,216.26,2237.87,17123.5,2503.78,78.8423,4741.65,295.103,0.772713,0.213971,0.0133167,0.227287,21.8273,7.06953,16.5594,0.547366,0.638244,0.440225,39.877 
2,110,2,38536.3,0,5,131,50,0,5,135,527.516,2336.38,17228.9,2847.76,480.657,1124.8,23.6927,10.1013,24.8613,21322.4,135.361,1944.23,16490.8,2455.61,88.503,4399.84,223.864,0.781017,0.20838,0.0106024,0.218983,16.0034,6.25665,17.172,0.460915,0.593762,0.401618,34.7209 
3,115,3,34927.8,0,5,131,50,0,5,135,371.74,2422.33,17279.1,2768.89,321.855,597.185,20.5273,9.66731,15.6661,21322.4,163.535,2214.12,16887.2,2560.68,113.65,4774.81,277.185,0.769727,0.217638,0.0126343,0.230273,16.4448,7.62609,11.5837,0.565677,0.552016,0.548073,29.071 
4,120,4,36579,0,5,131,50,0,5,135,453.999,2295.95,17396.6,2785.1,382.419,716.64,18.6311,9.42383,15.5387,21322.4,204.148,2046.1,16926.3,2535.25,132.567,4581.35,336.715,0.774859,0.209727,0.0154142,0.225141,13.732,6.97431,10.6396,0.542141,0.529436,0.547,25.3292 
5,125,5,38158.1,0,5,131,50,0,5,135,531.279,2208.33,16669.2,2650.83,525.962,1093.22,14.8036,8.42144,14.7894,21322.4,150.135,1827.18,15951.8,2269.69,144.818,4096.87,294.953,0.784118,0.201384,0.0144986,0.215882,7.33019,4.68474,7.31597,0.478953,0.472048,0.541196,15.3046 
6,130,6,32787.2,0,5,131,50,0,5,135,272.784,2080.2,16606.1,2529.41,282.257,469.915,16.19,6.56892,19.0557,21322.4,108.951,1916.36,16297.7,2365.58,118.424,4281.94,227.375,0.783279,0.205793,0.0109278,0.216721,12.9776,4.96271,15.8433,0.429057,0.599085,0.365891,30.2467 
7,135,7,35643.7,0,5,131,50,0,5,135,449.879,2074.95,16373.2,2536.54,407.252,953.436,19.5278,9.52685,15.9517,21322.4,117.47,1742.55,15747.4,2204.13,74.8429,3946.68,192.312,0.791869,0.198461,0.00967053,0.208131,13.01,6.26794,9.43389,0.558538,0.54256,0.550341,23.2929 
8,140,8,37012.6,0,5,131,50,0,5,135,495.333,2272.25,17599.6,2536.59,451.036,945.203,11.4805,8.82256,13.0179,21322.4,165.794,1942.71,16979.3,2207.05,121.497,4149.75,287.291,0.79282,0.193766,0.0134145,0.20718,5.01893,5.59178,6.55639,0.412558,0.339013,0.611059,12.1654 
9,145,9,36639,0,5,131,50,0,5,135,537.313,1992.73,17317.7,2373.56,439.279,1144.51,11.4811,11.0826,16.8168,21322.4,138.286,1593.7,16566.6,1974.53,40.2526,3568.23,178.539,0.815551,0.17566,0.00878924,0.184449,3.65702,7.17053,8.99272,0.271714,0.225666,0.594951,13.4591 
