cyc,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,sumBZ1,sumBZ2,fractionBZ0,fractionBZ1,fractionBZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
17,140,17,56351.3,0,5,131,50,0,5,135,-740.489,2212.18,50931,2980.17,312.526,447.497,-3.97771,-6.95117,-12.6708,21322.4,-1143.65,1809.02,50154.6,2577.01,-90.6316,4386.04,-1234.28,0.940875,0.0822798,-0.0231544,0.0591254,-7.62516,-8.7749,-16.3183,0.300061,0.3318,0.49763,-25.4121 
18,197,18,40037.1,0,5,131,50,0,5,135,2938.86,2594.84,29215,3696.49,3079.48,299.645,-3.14984,-7.06299,-13.2764,21322.4,2668.91,2324.89,28695,3426.53,2809.52,5751.42,5478.43,0.718726,0.144056,0.137218,0.281274,-5.59218,-8.28416,-15.7188,0.246074,0.278364,0.4926,-22.7257 
19,202,19,38485.7,0,5,131,50,0,5,135,4815.17,3908.08,21574.9,4847.37,4851.19,207.431,-7.54488,-6.81549,-14.9252,21322.4,4628.29,3721.2,21215,4660.49,4664.31,8381.69,9292.61,0.545522,0.215527,0.23895,0.454478,-9.2356,-7.66085,-16.616,0.337719,0.407895,0.459258,-27.347 
20,207,20,49021.9,0,5,131,50,0,5,135,1885.02,3152.77,37710.4,3940.98,2524.54,312.069,-10.3128,-10.1698,-16.017,21322.4,1603.88,2871.62,37168.9,3659.83,2243.39,6531.46,3847.27,0.781719,0.137367,0.080914,0.218281,-12.8564,-11.4416,-18.5606,0.388558,0.391019,0.531739,-33.0875 
21,201,21,40507.5,0,5,131,50,0,5,135,4712.52,4143.24,23385.2,5142.05,4535.49,290.709,-10.9642,-8.94495,-11.0895,21322.4,4450.62,3881.34,22880.8,4880.15,4273.59,8761.49,8724.2,0.566826,0.217049,0.216125,0.433174,-13.3337,-10.1297,-13.459,0.476137,0.429279,0.580965,-28.004 
22,199,22,41389.5,0,5,131,50,0,5,135,3424.67,3035.29,28149,4246.33,3642.68,278.454,-13.0217,-6.60558,-14.9019,21322.4,3173.81,2784.43,27665.8,3995.47,3391.81,6779.9,6565.62,0.67459,0.165318,0.160093,0.32541,-15.2913,-7.74039,-17.1715,0.449636,0.530267,0.453661,-34.0082 
23,208,23,59656.5,0,5,131,50,0,5,135,-694.532,2962.01,52235.6,3811.76,507.843,395.253,-11.9564,-4.37807,-24.3208,21322.4,-1050.62,2605.92,51549.8,3455.67,151.754,6061.59,-898.868,0.908967,0.106883,-0.0158496,0.0910332,-15.178,-5.98888,-27.5424,0.335802,0.591538,0.285995,-45.1993 
24,209,24,56511.1,0,5,131,50,0,5,135,44.8223,3483.58,47327.3,4005.58,957.625,332.108,-17.5436,-4.87831,-17.3797,21322.4,-254.379,3184.38,46751,3706.38,658.423,6890.76,404.044,0.865026,0.127498,0.00747595,0.134974,-20.2505,-6.23178,-20.0867,0.480497,0.649969,0.363666,-42.145 
25,203,25,38348.4,0,5,131,50,0,5,135,4731.35,4040.66,21129.5,4975.17,4329.12,243.144,-15.5006,-17.6055,-23.237,21322.4,4512.3,3821.61,20707.6,4756.12,4110.07,8577.73,8622.37,0.546264,0.226279,0.227457,0.453736,-17.4824,-18.5964,-25.2189,0.388749,0.349466,0.575978,-44.971 
26,172,26,48020.8,0,5,131,50,0,5,135,-524.084,190.609,48694.6,1197.43,690.18,354.165,-14.3953,-4.16023,-13.2078,21322.4,-843.158,-128.465,48080.1,878.357,371.106,749.892,-472.051,0.994255,0.0155071,-0.00976161,0.00574549,-17.282,-5.60359,-16.0945,0.496253,0.637988,0.39075,-34.825 
27,178,27,48637.1,0,5,131,50,0,5,135,-731.989,45.5125,48801.4,1219.27,417.507,395.962,-6.3633,-9.24143,-15.861,21322.4,-1088.72,-311.216,48114.4,862.54,60.7787,551.324,-1027.94,1.01,0.0115732,-0.0215782,-0.010005,-9.5907,-10.8551,-19.0884,0.315514,0.33549,0.511614,-30.3971 
