cyc,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,sumBZ1,sumBZ2,fractionBZ0,fractionBZ1,fractionBZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
0,85,0,67199,0,5,131,50,0,5,135,-40.4828,2214.58,59548.7,3249.45,890.556,318.227,-9.72776,-3.01421,-43.3563,21322.4,-327.179,1927.88,58996.6,2962.76,603.859,4890.64,276.681,0.919467,0.0762211,0.00431209,0.0805332,-12.3216,-4.31111,-45.9501,0.197438,0.620234,0.147361,-62.4072 
1,87,1,62070.2,0,5,131,50,0,5,135,-6.83349,1214.42,57529.5,2398.18,960.024,332.301,-7.10522,-10.5177,-44.3114,21322.4,-306.209,915.048,56952.9,2098.8,660.648,3013.85,354.438,0.944161,0.0499633,0.00587585,0.0558392,-9.81374,-11.8719,-47.0199,0.160709,0.320819,0.317457,-61.0654 
2,89,2,63396.9,0,5,131,50,0,5,135,-422.851,1972.76,58114.8,2929.66,736.437,295.778,-9.05492,-11.4781,-42.8772,21322.4,-689.323,1706.29,57601.6,2663.19,469.965,4369.48,-219.358,0.932793,0.0707589,-0.00355225,0.0672066,-11.4657,-12.6835,-45.2881,0.188489,0.340615,0.340328,-60.8297 
3,91,3,61940.9,0,5,131,50,0,5,135,-1317.81,2795.54,56537.8,3452.26,87.3648,347.021,-10.8168,-10.5645,-42.7996,21322.4,-1630.45,2482.9,55935.7,3139.62,-225.273,5622.52,-1855.72,0.936907,0.0941757,-0.0310828,0.0630929,-13.6453,-11.9787,-45.6281,0.215293,0.394281,0.325967,-63.3799 
4,93,4,59898.4,0,5,131,50,0,5,135,-1348.69,3017.79,53716.4,3717.74,176.219,401.743,-11.8404,-8.83311,-40.7388,21322.4,-1710.63,2655.85,53019.3,3355.8,-185.718,6011.65,-1896.34,0.927972,0.105219,-0.0331908,0.0720282,-15.1149,-10.4704,-44.0134,0.239578,0.452026,0.304696,-63.0895 
5,95,5,57053.5,0,5,131,50,0,5,135,-1501.75,4442.78,48907.3,4792.77,138.867,392.22,-14.3002,-7.7986,-48.7498,21322.4,-1855.11,4089.42,48226.7,4439.41,-214.491,8528.83,-2069.6,0.881885,0.15596,-0.0378452,0.118115,-17.4971,-9.39705,-51.9467,0.236068,0.515501,0.249943,-74.119 
6,97,6,57080,0,5,131,50,0,5,135,-1534.52,12110.6,33508.9,11014.2,71.5754,368.914,-10.3938,-13.8013,-49.3045,21322.4,-1866.88,11778.2,32868.8,10681.8,-260.785,22460,-2127.67,0.617821,0.422171,-0.0399929,0.382179,-13.4008,-15.3048,-52.3114,0.190297,0.333484,0.350204,-70.4202 
7,99,7,61420.4,0,5,131,50,0,5,135,-1478.73,13679.6,33015.4,13099,210.993,374.725,-12.192,-15.8696,-50.4354,21322.4,-1816.32,13342,32365.2,12761.4,-126.603,26103.4,-1942.93,0.572575,0.461797,-0.0343725,0.427425,-15.2463,-17.3968,-53.4897,0.207292,0.333686,0.374656,-73.5501 
8,101,8,56258.5,0,5,131,50,0,5,135,-1355.34,2574.57,51929,3257.35,123.028,379.31,-4.62024,-5.6742,-45.5961,21322.4,-1697.07,2232.84,51270.8,2915.62,-218.7,5148.46,-1915.77,0.940688,0.0944611,-0.0351495,0.0593116,-7.71192,-7.22004,-48.6878,0.126879,0.37902,0.214559,-60.7816 
9,103,9,59078.9,0,5,131,50,0,5,135,-1402.47,2097.77,55436.8,2823.38,32.5702,392.586,-3.24467,-2.96189,-40.5,21322.4,-1756.15,1744.08,54755.6,2469.69,-321.118,4213.77,-2077.27,0.962446,0.0740661,-0.0365125,0.0375536,-6.44456,-4.56183,-43.6999,0.119173,0.446677,0.161283,-54.0775 
10,105,10,61358.5,0,5,131,50,0,5,135,-1288.57,2370.87,56492.5,3062.68,27.5746,340.667,-5.6124,-9.30404,-34.8056,21322.4,-1595.48,2063.95,55901.4,2755.77,-279.338,4819.72,-1874.82,0.949956,0.0819036,-0.0318597,0.0500439,-8.3891,-10.6924,-37.5823,0.169979,0.309552,0.343871,-49.3538 
11,107,11,63277.5,0,5,131,50,0,5,135,-1382.65,2778.82,57673.5,3411.68,38.8846,386.684,-7.25191,-13.2398,-46.4347,21322.4,-1731.02,2430.45,57002.5,3063.31,-309.485,5493.76,-2040.51,0.94288,0.0908723,-0.033752,0.0571203,-10.4037,-14.8157,-49.5865,0.161415,0.286357,0.355002,-64.4529 
