cyc,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,sumBZ1,sumBZ2,fractionBZ0,fractionBZ1,fractionBZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
0,92,0,23347.1,0,5,131,50,0,5,135,188.327,1862.87,12585.7,1843.7,116.033,12.7513,13.5921,4.39161,-0.139824,21322.4,183.881,1858.42,12577.3,1839.26,111.588,3697.68,295.469,0.75902,0.223149,0.017831,0.24098,13.5049,4.34803,-0.226994,1.01866,0.63962,1.02917,13.2575 
1,93,1,19452.6,0,5,131,50,0,5,135,32.494,1899.5,11590.1,1860.33,-2.12521,-187.657,10.6625,6.90359,8.20376,21322.4,97.9193,1964.93,11713.3,1925.76,63.3001,3890.68,161.219,0.742984,0.24679,0.0102263,0.257016,11.9453,7.54502,9.48661,0.536008,0.47498,0.594335,22.2857 
2,94,2,21994.3,0,5,131,50,0,5,135,149.049,2324.31,10754.6,2368.71,118.675,68.2071,10.8863,4.02939,5.14783,21322.4,125.269,2300.53,10709.9,2344.93,94.8951,4645.46,220.164,0.68761,0.298255,0.0141353,0.31239,10.42,3.79625,4.68155,0.671267,0.610663,0.598998,15.5229 
3,95,3,26504.5,0,5,131,50,0,5,135,351.783,3556.86,10696,3554.9,343.295,322.93,12.7558,6.70743,14.7993,21322.4,239.196,3444.27,10484,3442.31,230.708,6886.59,469.903,0.587653,0.386008,0.0263391,0.412347,10.5482,5.60364,12.5917,0.434564,0.518224,0.450485,24.2731 
4,96,4,24429.7,0,5,131,50,0,5,135,238.126,3731.83,9959.83,3740.54,295.855,176.897,8.00065,4.898,14.9056,21322.4,176.452,3670.16,9843.74,3678.87,234.181,7349.03,410.633,0.559195,0.417478,0.0233269,0.440805,6.79136,4.29335,13.6963,0.312673,0.474763,0.366062,21.7203 
5,97,5,22012.4,0,5,131,50,0,5,135,206.79,3619.55,8970.98,3751.41,207.584,-113.784,10.8508,7.65424,5.5468,21322.4,246.46,3659.22,9045.65,3791.08,247.254,7450.3,493.714,0.532421,0.43852,0.0290597,0.467579,11.6286,8.04317,6.32464,0.627812,0.452403,0.700835,18.5225 
6,98,6,29286.4,0,5,131,50,0,5,135,501.263,3217.47,10598.8,3248.03,475.559,903.385,15.208,6.03447,16.5044,21322.4,186.304,2902.51,10005.9,2933.07,160.6,5835.58,346.904,0.618092,0.360479,0.0214292,0.381908,9.03233,2.94664,10.3287,0.445148,0.636575,0.344489,20.2906 
7,99,7,26159.1,0,5,131,50,0,5,135,341.915,3494.68,9267.77,3739.01,466.259,537.997,12.739,2.46571,12.827,21322.4,154.346,3307.11,8914.7,3551.44,278.69,6858.55,433.036,0.550077,0.423203,0.0267202,0.449923,9.06118,0.626797,9.14919,0.476057,0.892017,0.112058,19.0338 
8,100,8,28634.5,0,5,131,50,0,5,135,438.85,2767.03,11336.5,2800.64,440.57,814.161,15.2717,10.8686,11.9058,21322.4,154.999,2483.17,10802.2,2516.79,156.718,4999.96,311.717,0.670366,0.310289,0.0193446,0.329634,9.70599,8.0857,6.34005,0.584112,0.406858,0.701431,16.6166 
9,101,9,27397.8,0,5,131,50,0,5,135,320.338,2096.53,12574.2,2146.28,271.419,605.179,14.2747,7.84846,18.1817,21322.4,109.346,1885.53,12177,1935.29,60.4271,3820.82,169.773,0.753173,0.236326,0.0105008,0.246827,10.1376,5.77991,14.0446,0.398393,0.500562,0.431204,25.4462 
10,102,10,24971.8,0,5,131,50,0,5,135,206.311,1456.13,13202.8,1449.23,142.173,361.342,17.8037,7.45767,15.0731,21322.4,80.3317,1330.15,12965.7,1323.25,16.193,2653.4,96.5247,0.82502,0.168838,0.00614197,0.17498,15.3335,6.22257,12.6029,0.527457,0.584734,0.47631,29.0706 
