cyc,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,sumBZ1,sumBZ2,fractionBZ0,fractionBZ1,fractionBZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
0,140,0,59696,0,5,131,50,0,5,135,271.144,720.895,50424.3,1710.27,229.515,152.598,7.64409,-5.14454,3.23797,21322.4,133.665,583.417,50159.6,1572.79,92.0365,2156.21,225.702,0.954666,0.0410382,0.00429569,0.0453339,6.40029,-5.76644,1.99418,0.746481,-1.73404,1.23112,8.57395 
1,145,1,57247.2,0,5,131,50,0,5,135,356.82,589.637,48383.2,1447.65,388.235,148.401,2.54366,1.43332,-6.41538,21322.4,223.123,455.94,48125.7,1313.95,254.538,1769.89,477.661,0.955382,0.0351355,0.00948243,0.0446179,1.33408,0.828528,-7.62497,-0.191207,0.479194,-0.250255,-6.97714 
2,150,2,57898.9,0,5,131,50,0,5,135,482.752,209.602,50487.8,1183.5,469.457,122.242,10.5275,1.92369,-0.456137,21322.4,372.622,99.4725,50275.7,1073.37,359.327,1172.84,731.949,0.963496,0.0224766,0.0140273,0.0365039,9.53109,1.42551,-1.45251,1.1992,0.792558,2.23783,7.94786 
3,155,3,58345,0,5,131,50,0,5,135,542.153,418.762,50048.1,1222.49,407.889,60.0655,0.186753,-1.314,-7.57499,21322.4,488.038,364.648,49943.9,1168.38,353.775,1533.03,841.813,0.954608,0.0293017,0.0160901,0.0453918,-0.302829,-1.55879,-8.06458,0.0333027,0.0999198,0.262569,-9.09322 
4,160,4,59302.1,0,5,131,50,0,5,135,429.408,414.543,51100.5,1363.09,375.324,67.7707,-2.81304,-7.4618,-9.32179,21322.4,368.352,353.487,50982.9,1302.03,314.268,1655.52,682.62,0.95615,0.0310482,0.0128021,0.0438502,-3.36543,-7.73799,-9.87417,0.238205,0.199056,0.590765,-14.1283 
5,165,5,56244.4,0,5,131,50,0,5,135,353.814,435.441,48120.4,1201.39,301.433,114.209,12.9625,-0.208,6.61429,21322.4,250.921,332.547,47922.3,1098.49,198.54,1431.04,449.461,0.962241,0.0287342,0.00902481,0.037759,12.0316,-0.673449,5.68339,0.660115,1.10859,-0.279228,18.2265 
6,170,6,60893,0,5,131,50,0,5,135,295.532,1044.48,50758.7,1830.04,332.415,35.101,7.61789,-1.25882,-6.57901,21322.4,263.909,1012.86,50697.7,1798.42,300.792,2811.28,564.701,0.937567,0.0519897,0.0104432,0.0624329,7.33179,-1.40187,-6.86511,-48.4971,1.50287,0.273341,-0.15118 
7,175,7,62768.6,0,5,131,50,0,5,135,1851.98,2469.57,46586.6,3150.98,1581.74,73.3655,2.50288,-2.76172,-0.856118,21322.4,1785.88,2403.48,46459.3,3084.89,1515.64,5488.37,3301.52,0.840905,0.0993385,0.059757,0.159095,1.9049,-3.06071,-1.4541,5.95422,-0.551928,0.794973,0.319924 
9,185,9,43698.4,0,5,131,50,0,5,135,5968.84,3256.14,21422.5,3475.93,5402.53,-108.713,0.383914,2.28714,-3.08454,21322.4,6066.78,3354.08,21611.2,3573.87,5500.47,6927.95,11567.3,0.538846,0.172739,0.288414,0.461154,1.27001,2.73019,-2.19844,-1.12761,0.209994,1.7766,-1.12629 
10,190,10,61112.9,0,5,131,50,0,5,135,413.304,999.113,50947.9,1842.73,305.5,89.8591,4.80688,-0.255599,-8.75409,21322.4,332.349,918.158,50792,1761.78,224.544,2679.94,556.893,0.940091,0.049602,0.0103073,0.0599093,4.07446,-0.62181,-9.48652,-0.650265,1.36439,0.107736,-6.26584 
11,195,11,64181.8,0,5,131,50,0,5,135,321.141,1310.83,53099.2,2068.58,279.255,138.475,4.47862,0.0939561,-11.9335,21322.4,196.386,1186.08,52858.9,1943.82,154.5,3129.9,350.886,0.938218,0.0555541,0.00622804,0.0617821,3.34994,-0.470386,-13.0622,-0.307676,1.32578,0.0622097,-10.8879 
12,200,12,66681.8,0,5,131,50,0,5,135,356.884,1275.08,54857.5,2196.88,352.586,114.429,0.704174,-1.42323,-1.41774,21322.4,253.793,1171.99,54659,2093.79,249.495,3265.78,503.289,0.935492,0.055894,0.00861382,0.0645078,-0.228511,-1.88957,-2.35042,0.0818897,0.0646378,0.596923,-2.79047 
13,205,13,60407.9,0,5,131,50,0,5,135,289.003,741.768,50903.6,1546.35,191.69,99.4817,4.89603,-0.671909,-1.80928,21322.4,199.378,652.143,50731,1456.73,102.065,2108.87,301.444,0.954643,0.0396842,0.00567249,0.0453567,4.08517,-1.07734,-2.62013,3.32337,1.85704,0.430987,1.22922 
