cyc,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,sumBZ1,sumBZ2,fractionBZ0,fractionBZ1,fractionBZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
18,215,18,47820.6,0,5,131,50,0,5,135,223.492,1226.72,38832.6,1464.38,164.175,133.027,4.64755,0.509548,-0.415692,21322.4,103.645,1106.88,38601.8,1344.53,44.3285,2451.41,147.974,0.93691,0.0594985,0.00359149,0.059713,3.56328,-0.0325899,-1.49997,1.84787,1.01627,0.0384833,1.92831 
19,200,19,51370.3,0,5,131,50,0,5,135,408.863,2635.6,39146.3,2572.48,97.9156,149.742,-7.18847,-3.20333,0.800698,21322.4,273.958,2500.7,38886.4,2437.58,-36.9895,4938.27,236.969,0.882546,0.112076,0.00537811,0.112682,-8.40899,-3.81359,-0.419818,0.94839,0.557523,0.94361,-8.86659 
20,235,20,41796.1,0,5,131,50,0,5,135,923.169,3073.19,28930.4,3078.08,768.158,3.57968,-6.47829,-2.84809,-7.80496,21322.4,919.944,3069.96,28924.2,3074.85,764.933,6144.81,1684.88,0.78697,0.167188,0.0458422,0.175221,-6.50747,-2.86268,-7.83414,0.432485,0.565023,0.402316,-15.0467 
21,229,21,47053.5,0,5,131,50,0,5,135,702.918,3364.42,33570.9,3242.44,393.303,135.725,-4.13869,2.62307,-0.764454,21322.4,580.641,3242.14,33335.4,3120.17,271.026,6362.31,851.667,0.822094,0.156903,0.0210032,0.160269,-5.24496,2.06994,-1.87072,0.720062,3.2325,1.96313,-7.28404 
22,227,22,48858.2,0,5,131,50,0,5,135,425.487,3230.41,35768.7,3181.08,344.495,117.049,1.07902,0.24085,-4.23929,21322.4,320.035,3124.96,35565.6,3075.63,239.043,6200.59,559.078,0.840292,0.146499,0.0132091,0.14846,0.124974,-0.236172,-5.19334,-0.0225757,-0.433445,0.0772964,-5.53577 
23,222,23,54309,0,5,131,50,0,5,135,432.031,3459.55,40271.2,3258.63,208.109,93.7902,-3.28382,11.3642,4.4193,21322.4,347.534,3375.05,40108.4,3174.13,123.612,6549.18,471.147,0.851039,0.138964,0.00999701,0.140367,-4.04829,10.982,3.65483,62.7455,-0.266859,0.846981,-0.0645192 
24,260,24,57281.5,0,5,131,50,0,5,135,328.003,3338,43409.2,3233.94,132.492,47.3984,6.11792,1.08914,-15.1678,21322.4,285.301,3295.3,43327,3191.24,89.7896,6486.54,375.091,0.863283,0.129243,0.00747362,0.130216,5.73159,0.895977,-15.5541,-0.510726,0.785198,-0.118709,-11.2224 
25,270,25,50849.4,0,5,131,50,0,5,135,323.385,3069.91,38514.6,2849.59,270.216,89.5746,-7.30587,-1.19361,-7.52641,21322.4,242.686,2989.21,38359.2,2768.89,189.516,5758.1,432.202,0.861047,0.129252,0.00970161,0.130518,-8.03597,-1.55866,-8.25652,0.471717,0.746586,0.258023,-17.0356 
26,280,26,50100.5,0,5,131,50,0,5,135,274.315,3100.45,37238.9,2950.38,228.856,89.1234,4.46708,2.11141,3.66238,21322.4,194.022,3020.16,37084.2,2870.09,148.563,5890.25,342.586,0.856111,0.13598,0.00790879,0.137064,3.74066,1.7482,2.93596,0.538933,0.550097,0.523098,6.94085 
27,290,27,52402.4,0,5,131,50,0,5,135,366.367,3225.77,39511.5,3022.6,187.71,-24.1777,-3.00724,-1.65706,-13.7989,21322.4,388.149,3247.55,39553.4,3044.38,209.492,6291.94,597.641,0.851655,0.135477,0.0128683,0.137243,-2.81017,-1.55853,-13.6018,0.159341,0.507471,0.174286,-17.6362 
